time,p_l2,ux_l2,uy_l2
0,0,0,0
0.02,4.9166937961799e-08,1.7579634304491e-10,1.4640078549786e-10
0.04,1.062671422876e-07,3.9657229828548e-10,3.0608078678621e-10
0.06,1.6382278503043e-07,6.2055651112137e-10,4.6621479588785e-10
0.08,2.213734257716e-07,8.4469339111118e-10,6.2621732679805e-10
0.1,2.7885388524989e-07,1.0686069710132e-09,7.8598581381213e-10
0.12,3.3623144625964e-07,1.2921457210328e-09,9.4544780048569e-10
0.14,3.9347936047904e-07,1.515196802083e-09,1.1045360841562e-09
0.16,4.5057288317326e-07,1.7376597538771e-09,1.263185343676e-09
0.18,5.074881669185e-07,1.9594394876479e-09,1.4213311923812e-09
0.2,5.6420184595169e-07,2.1804436883038e-09,1.5789098199953e-09
