time,p_l2,ux_l2,uy_l2
0,0,0,0
0.01,7.8002013051835e-08,3.7255153946087e-10,3.8102821223692e-10
0.02,1.5932294633832e-07,7.5150441494678e-10,7.6759539824839e-10
0.03,2.4084524336413e-07,1.130958883165e-09,1.1544494842197e-09
0.04,3.2236398039936e-07,1.5103778510346e-09,1.5412209248749e-09
0.05,4.0385467089896e-07,1.8896665626648e-09,1.9278448805948e-09
0.06,4.8530670579951e-07,2.2687755574928e-09,2.3142788601209e-09
0.07,5.6671116471498e-07,2.6476628366384e-09,2.7004829841193e-09
0.08,6.4805954509782e-07,3.0262885613597e-09,3.0864180423931e-09
0.09,7.2934351381059e-07,3.4046137971373e-09,3.4720451146461e-09
0.1,8.1055482404309e-07,3.7826000702757e-09,3.8573254427845e-09
0.11,8.9168527952135e-07,4.1602091748179e-09,4.242220374531e-09
0.12,9.7272671721166e-07,4.5374030782836e-09,4.626691337744e-09
0.13,1.0536709984285e-06,4.9141438737208e-09,5.0106998277325e-09
0.14,1.1345100041144e-06,5.2903937531397e-09,5.3942074032369e-09
0.15,1.2152356323385e-06,5.6661149933013e-09,5.7771756835834e-09
0.16,1.2958397970375e-06,6.0412699487047e-09,6.1595663497362e-09
0.17,1.3763144274933e-06,6.4158210475858e-09,6.5413411456121e-09
0.18,1.4566514682461e-06,6.7897307911367e-09,6.9224618808429e-09
0.19,1.5368428792923e-06,7.1629617542514e-09,7.3028904327651e-09
0.2,1.6168806364653e-06,7.5354765860231e-09,7.6825887499837e-09
