time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997876300397,0.99996112279472,0.99997948477536,0.99997562850072,5.4360913865333e-05,5.2900010038668e-05,4.0846577358975e-05,3.5697169160617e-05,0.01000006055774,-0.00048205458786344,0.00017811071457709,-7.4762595876136e-06,-7.4762595876136e-06,0.90001652642508,0.89999717888717,2.5,2.5,-9.9999999999993e-05
0.0006,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997870630263,0.99996062329025,0.99997952037513,0.99997556730058,5.4490610479973e-05,5.2733368068926e-05,4.0949359612905e-05,3.567069137689e-05,0.010000023622719,-0.0002308438791842,0.00011683992303323,-7.495223454174e-06,-7.495223454174e-06,0.90001700804611,0.899997174838,2.5,2.5,-0.0001
0.0009,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997866297513,0.99996038040224,0.99997951723492,0.99997552053492,5.4589717036241e-05,5.2606030052093e-05,4.1027899860006e-05,3.5690977242723e-05,0.0099999953991456,-0.00017639733652585,9.1391156044574e-05,-7.5097145216188e-06,-7.5097145323557e-06,0.90001722383168,0.8999971717437,2.5,2.5,-9.999999999068e-05
0.0012,-0.037912063065438,0.57737298283364,0.61528504589908,0.999978626648,0.99996022410383,0.99997950425219,0.99997548132573,5.4672810055438e-05,5.2499267151677e-05,4.1093749596547e-05,3.5721805825814e-05,0.0099999717358983,-0.00014789529386436,7.7343628442782e-05,-7.5218641507208e-06,-7.5218641545058e-06,0.90001735282368,0.89999716914958,2.5,2.5,-0.00010000000000839
0.0015,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997859474483,0.99996010786704,0.9999794882538,0.99997544689137,5.4745784112016e-05,5.2405505726814e-05,4.1151580207425e-05,3.5755018372987e-05,0.0099999509543371,-0.00012988475679208,6.8244289176161e-05,-7.5325342076464e-06,-7.5325342106543e-06,0.90001744304385,0.89999716687133,2.5,2.5,-9.9999999983744e-05
0.0018,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997856595227,0.99996001419373,0.99997947136007,0.99997541581428,5.4811643290018e-05,5.2320885863163e-05,4.1203772458236e-05,3.5788271104474e-05,0.0099999321989396,-0.00011722123423288,6.176123306134e-05,-7.5421639525982e-06,-7.5421639564363e-06,0.90001751214987,0.89999716481516,2.5,2.5,-9.9999999999675e-05
0.0021,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997853949794,0.99995993490543,0.99997945435689,0.99997538726119,5.4872153524777e-05,5.2243138570493e-05,4.1251725785266e-05,3.5820801472724e-05,0.0099999149667986,-0.00010770088216415,5.6848143316866e-05,-7.5510116002817e-06,-7.5510116032721e-06,0.90001756821011,0.89999716292611,2.5,2.5,-0.00010000000000378
0.0024,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997851488381,0.9999598655795,0.9999794375642,0.9999753606942,5.4928454656211e-05,5.217079918041e-05,4.1296343596296e-05,3.5852367344367e-05,0.0099998989332814,-0.00010020948175678,5.2961499933131e-05,-7.5592438277891e-06,-7.5592438302297e-06,0.90001761549319,0.89999716116844,2.5,2.5,-0.00010000000001402
0.0027,-0.037912063065438,0.57737298283364,0.61528504589908,0.999978491766,0.99995980356858,0.99997942111487,0.99997533574254,5.4981332216045e-05,5.2102858142194e-05,4.1338248532045e-05,3.5882918852761e-05,0.0099998838746279,-9.4116583796554e-05,4.9788455522842e-05,-7.5669755222104e-06,-7.5669755246396e-06,0.90001765650136,0.89999715951784,2.5,2.5,-0.0001
0.003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997846989599,0.99995974716676,0.99997940505924,0.99997531213802,5.5031354189903e-05,5.2038585045277e-05,4.1377891058784e-05,3.5912481088873e-05,0.0099998696289484,-8.9035496785936e-05,4.713487610291e-05,-7.5742898044105e-06,-7.5742898066707e-06,0.90001769281538,0.89999715795667,2.5,2.5,-9.9999999996754e-05
