time,p_l2,ux_l2,uy_l2
0,0,0,0
0.005,3.7479162182463e-08,1.8351387126753e-10,1.87966167108e-10
0.01,7.7164171011958e-08,3.7060899664273e-10,3.7968190014885e-10
0.015,1.1709338491964e-07,5.5815756980926e-10,5.7183550458092e-10
0.02,1.5705234267269e-07,7.4576331044642e-10,7.6403654069519e-10
0.025,1.9701323599589e-07,9.3336588940667e-10,9.5623033293772e-10
0.03,2.3697095891381e-07,1.1209505504656e-09,1.1484040915196e-09
0.035,2.7692358671147e-07,1.3085099020821e-09,1.3405510675864e-09
0.04,3.1686978379126e-07,1.4960381742352e-09,1.5326656987945e-09
0.045,3.5680838291269e-07,1.6835301224586e-09,1.7247427884112e-09
0.05,3.9673828736503e-07,1.8709807337316e-09,1.9167773020874e-09
0.055,4.3665843695992e-07,2.0583851162221e-09,2.1087642905826e-09
0.06,4.7656779257625e-07,2.2457384482565e-09,2.3006988558508e-09
0.065,5.1646532808883e-07,2.4330359512611e-09,2.4925761309784e-09
0.07,5.5635002582241e-07,2.6202728755458e-09,2.684391270537e-09
0.075,5.9622087384735e-07,2.8074444906138e-09,2.8761394433757e-09
0.08,6.3607686429599e-07,2.9945460803473e-09,3.0678158290294e-09
0.085,6.7591699229458e-07,3.1815729387463e-09,3.259415615026e-09
0.09,7.1574025525766e-07,3.3685203681957e-09,3.4509339954802e-09
0.095,7.5554565240914e-07,3.5553836776441e-09,3.6423661697999e-09
0.1,7.9533218446404e-07,3.7421581814966e-09,3.8337073424423e-09
0.105,8.3509885340193e-07,3.9288391992993e-09,4.024952721468e-09
0.11,8.7484466231131e-07,4.1154220547652e-09,4.2160975190114e-09
0.115,9.1456861527913e-07,4.3019020757768e-09,4.4071369512675e-09
0.12,9.5426971732122e-07,4.4882745938628e-09,4.5980662374144e-09
0.125,9.9394697432334e-07,4.6745349445011e-09,4.7888806005984e-09
0.13,1.0335993930149e-06,4.8606784667904e-09,4.9795752669469e-09
0.135,1.0732259809452e-06,5.0467005031571e-09,5.170145466566e-09
0.14,1.1128257464711e-06,5.2325963997762e-09,5.3605864327042e-09
0.145,1.1523976987562e-06,5.4183615064609e-09,5.5508934023747e-09
0.15,1.1919408477731e-06,5.6039911768103e-09,5.7410616161519e-09
0.155,1.2314542043085e-06,5.7894807675847e-09,5.9310863181208e-09
0.16,1.2709367799712e-06,5.9748256400051e-09,6.1209627565633e-09
0.165,1.3103875872101e-06,6.1600211586596e-09,6.3106861832513e-09
0.17,1.3498056393253e-06,6.3450626922548e-09,6.5002518539279e-09
0.175,1.3891899504828e-06,6.5299456134868e-09,6.6896550286929e-09
0.18,1.428539535739e-06,6.7146652990099e-09,6.8788909717041e-09
0.185,1.4678534110513e-06,6.8992171300936e-09,7.0679549511775e-09
0.19,1.507130593304e-06,7.0835964918988e-09,7.2568422401488e-09
0.195,1.5463701003266e-06,7.2677987739607e-09,7.4455481154393e-09
0.2,1.5855709509111e-06,7.4518193707618e-09,7.6340678590059e-09
