time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998407667863,0.99996936047429,0.99998473787405,0.99998021413357,4.8904094653176e-05,2.4048028440958e-05,3.4575218183856e-06,2.1920869413949e-06,0.0099998268027459,-0.00027677919877522,3.372501400023e-05,-4.2877735041975e-06,-4.2877735041975e-06,0.90001383593943,0.89999667875868,2.5,2.5,-9.9999999999975e-05
0.002,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998406768107,0.99996904963348,0.99998472053382,0.99998014382643,4.9662083052464e-05,2.3856912596054e-05,3.4741519580217e-06,2.2054644588097e-06,0.009999786935554,-5.9799405470423e-05,3.0793162637193e-05,-4.3070115913083e-06,-4.307011591309e-06,0.90001410044216,0.89999789432353,2.5,2.5,-0.00010000000003132
0.003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998400987567,0.99996878618714,0.99998470029697,0.99998007117536,4.9900848305106e-05,2.36852563503e-05,3.4890099401734e-06,2.2149449966527e-06,0.0099997511097658,-5.3737876833804e-05,2.8440362833253e-05,-4.324290145557e-06,-4.324290145557e-06,0.90001431962964,0.89999787908326,2.5,2.5,-9.9999999999904e-05
