id,p,ux,uy,x,y,z
0,4.8904094653176e-05,0,0,0,0,0
0.01,4.8934513834968e-05,2.7757290857459e-07,0,0.01,0,0
0.02,4.896493301676e-05,5.5388559458177e-07,0,0.02,0,0
0.03,4.8995352198552e-05,8.2893805802157e-07,0,0.03,0,0
0.04,4.9025771380344e-05,1.102730298894e-06,0,0.04,0,0
0.05,4.9056190562136e-05,1.375262317199e-06,0,0.05,0,0
0.06,4.9086609743928e-05,1.6465341129366e-06,0,0.06,0,0
0.07,4.911702892572e-05,1.9165456861068e-06,0,0.07,0,0
0.08,4.9147448107512e-05,2.1852970367096e-06,0,0.08,0,0
0.09,4.9177867289304e-05,2.452788164745e-06,0,0.09,0,0
0.1,4.9208286471096e-05,2.719019070213e-06,0,0.1,0,0
0.11,4.9238705652888e-05,2.9839897531136e-06,0,0.11,0,0
0.12,4.926912483468e-05,3.2477002134469e-06,0,0.12,0,0
0.13,4.9299544016472e-05,3.5101504512127e-06,0,0.13,0,0
0.14,4.9329963198264e-05,3.7713404664111e-06,0,0.14,0,0
0.15,4.9360382380056e-05,4.0312702590422e-06,0,0.15,0,0
0.16,4.9390801561848e-05,4.2899398291058e-06,0,0.16,0,0
0.17,4.942122074364e-05,4.547349176602e-06,0,0.17,0,0
0.18,4.9451639925433e-05,4.8034983015309e-06,0,0.18,0,0
0.19,4.9482059107225e-05,5.0583872038923e-06,0,0.19,0,0
0.2,4.9512478289017e-05,5.3120158836864e-06,0,0.2,0,0
0.21,4.9542897470809e-05,5.564384340913e-06,0,0.21,0,0
0.22,4.9573316652601e-05,5.8154925755723e-06,0,0.22,0,0
0.23,4.9603735834393e-05,6.0653405876642e-06,0,0.23,0,0
0.24,4.9634155016185e-05,6.3139283771886e-06,0,0.24,0,0
0.25,4.9664574197977e-05,6.5612559441457e-06,0,0.25,0,0
0.26,4.9619306247683e-05,6.8138007511273e-06,0,0.26,0,0
0.27,4.9574038297389e-05,7.0662147062651e-06,0,0.27,0,0
0.28,4.9528770347095e-05,7.3184978095591e-06,0,0.28,0,0
0.29,4.9483502396801e-05,7.5706500610094e-06,0,0.29,0,0
0.3,4.9438234446507e-05,7.8226714606159e-06,0,0.3,0,0
0.31,4.9392966496213e-05,8.0745620083786e-06,0,0.31,0,0
0.32,4.9347698545919e-05,8.3263217042975e-06,0,0.32,0,0
0.33,4.9302430595625e-05,8.5779505483726e-06,0,0.33,0,0
0.34,4.9257162645331e-05,8.8294485406039e-06,0,0.34,0,0
0.35,4.9211894695037e-05,9.0808156809915e-06,0,0.35,0,0
0.36,4.9166626744743e-05,9.3320519695353e-06,0,0.36,0,0
