time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998738127832,0.99996875323761,0.99998524157497,0.99997853942139,4.7063483755065e-05,2.4611379212417e-05,3.4183222218235e-06,1.9875908870733e-06,0.0099999449776666,-0.00041459411347025,0.00015540032630251,-4.2309004153818e-06,-4.2309004153818e-06,0.90001482532504,0.89999674718222,2.5,2.5,-9.9999999999995e-05
0.0006,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998767243255,0.99996833189096,0.99998527820851,0.99997853892735,4.8361455235183e-05,2.445840333065e-05,3.4325695151652e-06,1.9934586617174e-06,0.0099999130106417,-0.00019979435943479,0.00010135685243713,-4.2463418021133e-06,-4.2463418142259e-06,0.90001523805822,0.89999636013866,2.5,2.5,-0.00010000000001415
0.0009,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998775252859,0.99996811877397,0.99998527402898,0.9999785056305,4.8867241683456e-05,2.4341464729094e-05,3.4429235135135e-06,1.998245864398e-06,0.0099998885722516,-0.00015274024956706,7.9229604606496e-05,-4.2581376694122e-06,-4.2581376764283e-06,0.90001542707348,0.89999622245029,2.5,2.5,-0.00010000000004184
0.0012,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998776921101,0.99996797623988,0.99998525982607,0.99997846626112,4.9127165733864e-05,2.424331749884e-05,3.4513934281852e-06,2.0025845466459e-06,0.0099998680613752,-0.00012819315596865,6.7080084330514e-05,-4.2680335058335e-06,-4.2680335107728e-06,0.90001554344443,0.89999616312389,2.5,2.5,-0.00010000000000921
0.0015,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998776302733,0.99996786686865,0.9999852426615,0.9999784268769,4.9288188678025e-05,2.4157026127389e-05,3.4587817785225e-06,2.0065414189428e-06,0.0099998500298172,-0.00011269733081448,5.9228679274336e-05,-4.2767311546386e-06,-4.2767311586488e-06,0.90001562716255,0.89999613426015,2.5,2.5,-0.00010000000000119
0.0018,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998774851454,0.99996777651042,0.99998522468057,0.9999783892184,4.9404696006904e-05,2.4079064063283e-05,3.4653930739548e-06,2.0101759291706e-06,0.0099998337407452,-0.00010180675099465,5.364193869395e-05,-4.2845873937301e-06,-4.2845873969964e-06,0.90001569291657,0.89999611819375,2.5,2.5,-9.9999999993429e-05
0.0021,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998773129033,0.9999676984848,0.99998520666154,0.99997835366993,4.9499214406618e-05,2.4007361223408e-05,3.4714285998233e-06,2.0135435168253e-06,0.009999818761315,-9.3621466071249e-05,4.9411557631784e-05,-4.2918115795951e-06,-4.2918115823933e-06,0.90001574744511,0.89999610778016,2.5,2.5,-9.9999999988421e-05
0.0024,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998771354874,0.99996762913774,0.99998518891329,0.99997832015896,4.9581674309627e-05,2.3940582648579e-05,3.4770202547552e-06,2.0166902033601e-06,0.009999804812223,-8.7181840864811e-05,4.6066896384327e-05,-4.2985386744181e-06,-4.2985386767916e-06,0.90001579433477,0.89999610000153,2.5,2.5,-9.999999999875e-05
0.0027,-0.037912063065438,0.57737298283364,0.61528504589908,0.9999876961185,0.9999675662574,0.9999851715586,0.99997828847882,4.9656711072863e-05,2.3877808783021e-05,3.4822563100469e-06,2.0196525187082e-06,0.0099997917009975,-8.1945168474286e-05,4.3337489625308e-05,-4.3048616155089e-06,-4.3048616176153e-06,0.90001583570193,0.89999609354218,2.5,2.5,-9.9999999982727e-05
0.003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998767927841,0.99996750840178,0.99998515463973,0.99997825840499,4.9726638159217e-05,2.3818374548804e-05,3.4871990984633e-06,2.0224590308697e-06,0.0099997792884091,-7.7578681922354e-05,4.1055687692937e-05,-4.3108475977622e-06,-4.3108475997291e-06,0.90001587289347,0.89999608781011,2.5,2.5,-0.00010000000000083
