time,p_l2,ux_l2,uy_l2
0,0,0,0
0.02,1.6269822531621e-07,7.6122540879104e-10,7.7264787432114e-10
0.04,3.3268414833506e-07,1.542084818292e-09,1.5563263868638e-09
0.06,5.0287761053866e-07,2.3239051274295e-09,2.3398114103394e-09
0.08,6.7290684759575e-07,3.1050426220869e-09,3.1223962818981e-09
0.1,8.4267839783915e-07,3.8850229878192e-09,3.9037426689664e-09
0.12,1.0121184190807e-06,4.6634908212233e-09,4.6835326785817e-09
0.14,1.1811567487313e-06,5.4401169127617e-09,5.461452232538e-09
0.16,1.3497245927597e-06,6.214581775544e-09,6.2371890897428e-09
0.18,1.5177538728308e-06,6.9865707306455e-09,7.0104323647993e-09
0.2,1.6851769882945e-06,7.7557720542956e-09,7.7808724099857e-09
