time,p_l2,ux_l2,uy_l2
0,0,0,0
0.01,2.1202434567155e-08,6.9917831867e-11,6.709488973567e-11
0.02,4.4479276024332e-08,1.4920733640431e-10,1.3837817233503e-10
0.03,6.7937281402805e-08,2.2966009775604e-10,2.0993705588473e-10
0.04,9.141292630434e-08,3.1027507716553e-10,2.81502860676e-10
0.05,1.148856904449e-07,3.9090944923162e-10,3.5304645490202e-10
0.06,1.3834967110891e-07,4.7152652357005e-10,4.2455726950289e-10
0.07,1.6180130499593e-07,5.521083640636e-10,4.9602703498492e-10
0.08,1.8523767730403e-07,6.3264232048236e-10,5.6744807214074e-10
0.09,2.0865613441108e-07,7.13117853661e-10,6.3881294636505e-10
0.1,2.3205415022611e-07,7.9352544257207e-10,7.101143457536e-10
0.11,2.5542926839923e-07,8.7385611734996e-10,7.8134502923504e-10
0.12,2.7877907406902e-07,9.5410122888465e-10,8.5249779945892e-10
0.13,3.0210117889535e-07,1.0342523288563e-09,9.2356549052909e-10
0.14,3.2539321266692e-07,1.1143011008627e-09,9.9454095928532e-10
0.15,3.4865281837946e-07,1.1942393194205e-09,1.0654170816277e-09
0.16,3.7187764926739e-07,1.2740588260329e-09,1.1361867498747e-09
0.17,3.9506536696463e-07,1.3537515128503e-09,1.206842872062e-09
0.18,4.1821364036708e-07,1.4333093134491e-09,1.2773783707363e-09
0.19,4.4132014492506e-07,1.5127241952181e-09,1.3477861831825e-09
0.2,4.6438256221944e-07,1.5919881545214e-09,1.4180592606271e-09
