time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0,-0.037912063065438,0.57737298283364,0.61528504589908,1,1,1,1,0,0,-0,-0,0.01,0,0,0,0,0,0.9,0.9,2.5,2.5,0,0
0.00125,-0.037912063065438,0.57737298283364,0.61528504589908,0.99999596706794,0.99999031850416,0.99999608618742,0.9999955084148,1.0876601724371e-05,1.3882228783695e-22,1.9669864340407e-06,1.3733616625138e-06,0.0099999666284247,-2.6697260224856e-05,2.2023121100599e-05,-4.183496395121e-07,-6.1548090704508e-07,-9.8822189431161e-07,0.90000467096479,0.89999973266403,2.5,2.5,-4.3548384844135e-07,-1.2500000000005e-05
0.0025,-0.037912063065438,0.57737298283364,0.61528504589908,0.99999194832981,0.9999807149974,0.99999208592388,0.99999107912727,2.1701593492963e-05,2.6349392897101e-22,3.969151223201e-06,2.907729332854e-06,0.0099999167704068,-3.9886414324945e-05,3.4928535193813e-05,-8.4271789624354e-07,-1.265920508123e-06,-1.9650079978624e-06,0.90000932789677,0.89999946610689,2.5,2.5,-8.8545076282695e-07,-2.4999999999991e-05
0.00375,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998794018006,0.99997118775533,0.99998804519983,0.99998668979017,3.2487958071751e-05,3.8193495172058e-22,6.0022132336925e-06,4.5446788209603e-06,0.0099998545892191,-4.9744950203247e-05,4.4693082039795e-05,-1.2715860867137e-06,-1.9324597476045e-06,-2.9332461571903e-06,0.90001395223335,0.89999920015197,2.5,2.5,-1.3462433771896e-06,-3.7500000000007e-05
0.005,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998394074958,0.99996172014212,0.99998398272609,0.99998232872566,4.3242170784809e-05,4.9649997568169e-22,8.0610753651877e-06,6.2541503853104e-06,0.009999782193386,-5.7916666460911e-05,5.2820662838689e-05,-1.7041875122769e-06,-2.6088119220253e-06,-3.8943989464833e-06,0.90001854843522,0.89999893475124,2.5,2.5,-1.8160093877638e-06,-4.9999999999997e-05
0.00625,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997994878811,0.99995230015819,0.99997990751278,0.99997798926903,5.3968096657723e-05,6.0815470540592e-22,1.0141654041857e-05,8.0190381262464e-06,0.0099997009016815,-6.5033363600131e-05,5.9913118002918e-05,-2.1400472723923e-06,-3.2921039818339e-06,-4.8493811308406e-06,0.90002312130263,0.89999866995192,2.5,2.5,-2.2935902735903e-06,-6.2499999999996e-05
0.0075,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997596329136,0.99994291959729,0.99997582448004,0.99997366724014,6.4668148381957e-05,7.1739500901487e-22,1.2241090165418e-05,9.8286203754504e-06,0.0099996116365233,-7.141212652873e-05,6.6277535231882e-05,-2.5788405818832e-06,-3.9807564662588e-06,-5.7988325436503e-06,0.90002767445824,0.89999840590947,2.5,2.5,-2.7781757059885e-06,-7.5e-05
0.00875,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997198332364,0.99993357266654,0.99997173656992,0.99996935981764,7.5343730038894e-05,8.2451965521062e-22,1.435735773266e-05,1.1675661580026e-05,0.0099995150891159,-7.7237925946666e-05,7.2094605554509e-05,-3.0203344294587e-06,-4.6737904687812e-06,-6.7432326375794e-06,0.90003221057565,0.89999814291186,2.5,2.5,-3.2691584733871e-06,-8.7500000000002e-05
0.01,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996800791605,0.99992425511336,0.9999676456632,0.99996506498722,8.5995435116346e-05,9.2973033941959e-22,1.6488961962282e-05,1.3554995941663e-05,0.0099994118021437,-8.2629577766009e-05,7.7481005988672e-05,-3.4643590125234e-06,-5.370546558538e-06,-7.682957844728e-06,0.9000367316687,0.89999788140292,2.5,2.5,-3.7660618364701e-06,-0.00010000000000001
0.01125,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996806893763,0.99992464519999,0.999967466837,0.99996527283185,8.5746551304018e-05,8.9435241040373e-22,1.6667767112113e-05,1.4089408976296e-05,0.0099993355878484,-6.0971436249052e-05,6.0494041980609e-05,-3.4924421605924e-06,-5.4550717566851e-06,-7.6300919382314e-06,0.90003656762422,0.89999788935143,2.5,2.5,-3.8330148286944e-06,-9.9999999999993e-05
