time,x,y,pressure,ux,uy,eps_xx,eps_yy,qx,sigma_xx,sigma_yy,fluid_content,modes,tail_bound
1e-05,-1.0,0.1,0.0,-0.24778794672577298,-0.041887871994089367,0.10471967998522332,-0.41887871994089365,-65.79984339587487,-1.942890293094024e-16,-0.7853975998891757,-0.18849542397340222,290.0,9.210160763129485e-14
1e-05,-0.99,0.1,0.35895604801113506,-0.24614639482370754,-0.041887871994089367,0.21240649438857157,-0.41887871994089365,-34.1661475506091,1.529332216421153e-14,-0.9469278214941825,-0.04760517512902704,290.0,9.210160763129485e-14
1e-05,-0.98,0.1,0.46961101745375733,-0.24380720864589062,-0.041887871994089367,0.24560298522136303,-0.41887871994089365,-4.798498527210158,2.4868995751603507e-14,-0.9967225577433602,-0.00417309962279494,290.0,9.210160763129485e-14
1e-05,-0.97,0.1,0.47995511627350146,-0.2413286441639816,-0.041887871994089367,0.2487062148672451,-0.41887871994089365,-0.18218440414485645,-5.750955267558311e-14,-1.0013774022122655,-0.00011304083607008297,290.0,9.210160763129485e-14
1e-05,-0.96,0.1,0.48024083719054234,-0.23884090968084298,-0.041887871994089367,0.24879193114236442,-0.41887871994089365,-0.0018696213437024134,-4.335420911161236e-14,-1.0015059766249306,-8.95376127296732e-07,290.0,9.210160763129485e-14
1e-05,-0.95,0.1,0.480243113267399,-0.23635298472875058,-0.041887871994089367,0.24879261396546254,-0.41887871994089365,-5.185762181528664e-06,3.885780586188048e-14,-1.0015070008594953,-2.0159363761651505e-09,290.0,9.210160763129485e-14
1e-05,-0.94,0.1,0.4802431184003364,-0.23386505857591572,-0.041887871994089367,0.24879261550534276,-0.41887871994089365,-3.8875600366234234e-09,3.68594044175552e-14,-1.0015070031693178,-1.2590484210761588e-12,290.0,9.210160763129485e-14
1e-05,-0.9299999999999999,0.1,0.4802431184035713,-0.2313771324208539,-0.041887871994089367,0.2487926155062955,-0.41887871994089365,-8.150620694103815e-13,1.3877787807814457e-15,-1.0015070031707822,1.3877787807814457e-17,290.0,9.210160763129485e-14
1e-05,-0.92,0.1,0.4802431184035722,-0.22888920626579112,-0.041887871994089367,0.24879261550626214,-0.41887871994089365,-5.186379547606367e-14,-6.583622536027178e-14,-1.0015070031707995,-1.9817480989559044e-14,290.0,9.210160763129485e-14
1e-05,-0.91,0.1,0.4802431184035726,-0.22640128011072858,-0.041887871994089367,0.2487926155062491,-0.41887871994089365,6.302713096683366e-15,-9.220402219511925e-14,-1.0015070031708064,-2.756128658631951e-14,290.0,9.210160763129485e-14
1e-05,-0.9,0.1,0.48024311840357253,-0.22391335395566594,-0.041887871994089367,0.24879261550627502,-0.41887871994089365,-2.164009481099803e-14,-4.030109579389318e-14,-1.0015070031707933,-1.201816424156732e-14,290.0,9.210160763129485e-14
1e-05,-0.89,0.1,0.4802431184035724,-0.22142542780060306,-0.041887871994089367,0.2487926155063072,-0.41887871994089365,7.07683474758088e-14,2.4147350785597155e-14,-1.0015070031707771,7.28583859910259e-15,290.0,9.210160763129485e-14
1e-05,-0.88,0.1,0.4802431184035724,-0.21893750164554,-0.041887871994089367,0.24879261550628845,-0.41887871994089365,-2.028799830431285e-14,-1.3378187446733136e-14,-1.0015070031707864,-3.969047313034935e-15,290.0,9.210160763129485e-14
1e-05,-0.87,0.1,0.4802431184035726,-0.21644957549047716,-0.041887871994089367,0.248792615506293,-0.41887871994089365,4.0417843896919757e-14,-4.385380947269368e-15,-1.0015070031707844,-1.2212453270876722e-15,290.0,9.210160763129485e-14
1e-05,-0.86,0.1,0.48024311840357253,-0.21396164933541403,-0.041887871994089367,0.24879261550633192,-0.41887871994089365,-9.036306293640084e-15,7.349676423018536e-14,-1.0015070031707647,2.2121193765656244e-14,290.0,9.210160763129485e-14
1e-05,-0.85,0.1,0.4802431184035722,-0.21147372318035068,-0.041887871994089367,0.24879261550633042,-0.41887871994089365,4.176744489730583e-14,7.072120666862247e-14,-1.0015070031707654,2.1149748619109232e-14,290.0,9.210160763129485e-14
1e-05,-0.84,0.1,0.4802431184035723,-0.2089857970252874,-0.041887871994089367,0.24879261550631354,-0.41887871994089365,-4.068936667994843e-14,3.68594044175552e-14,-1.001507003170774,1.1046719095020308e-14,290.0,9.210160763129485e-14
1e-05,-0.83,0.1,0.48024311840357176,-0.20649787087022434,-0.041887871994089367,0.24879261550631387,-0.41887871994089365,3.599455898175172e-14,3.785860513971784e-14,-1.0015070031707736,1.1129985821867194e-14,290.0,9.210160763129485e-14
1e-05,-0.8200000000000001,0.1,0.48024311840357164,-0.20400994471516118,-0.041887871994089367,0.24879261550631926,-0.41887871994089365,-1.8585673085462302e-14,4.873879078104437e-14,-1.0015070031707707,1.4349632593280148e-14,290.0,9.210160763129485e-14
1e-05,-0.81,0.1,0.4802431184035714,-0.20152201856009808,-0.041887871994089367,0.24879261550629472,-0.41887871994089365,-1.0470676523623965e-14,-2.220446049250313e-16,-1.001507003170783,-4.3021142204224816e-16,290.0,9.210160763129485e-14
1e-05,-0.8,0.1,0.48024311840357153,-0.1990340924050353,-0.041887871994089367,0.24879261550626236,-0.41887871994089365,-5.368231770696641e-14,-6.500355809180292e-14,-1.001507003170799,-1.9817480989559044e-14,290.0,9.210160763129485e-14
1e-05,-0.79,0.1,0.480243118403572,-0.19654616624997281,-0.041887871994089367,0.2487926155062425,-0.41887871994089365,-6.355571039481337e-14,-1.0502709812953981e-13,-1.001507003170809,-3.1655233989624776e-14,290.0,9.210160763129485e-14
1e-05,-0.78,0.1,0.4802431184035722,-0.19405824009491038,-0.041887871994089367,0.24879261550624793,-0.41887871994089365,3.218797606075063e-14,-9.425793479067579e-14,-1.0015070031708067,-2.833844270355712e-14,290.0,9.210160763129485e-14
1e-05,-0.77,0.1,0.48024311840357253,-0.19157031393984783,-0.041887871994089367,0.2487926155062663,-0.41887871994089365,-4.2454488975278864e-14,-5.773159728050814e-14,-1.0015070031707975,-1.725009024511337e-14,290.0,9.210160763129485e-14
1e-05,-0.76,0.1,0.4802431184035726,-0.1890823877847848,-0.041887871994089367,0.24879261550632675,-0.41887871994089365,2.9726471034968476e-14,6.311617894994015e-14,-1.0015070031707676,1.9040324872321435e-14,290.0,9.210160763129485e-14
1e-05,-0.75,0.1,0.4802431184035726,-0.18659446162972154,-0.041887871994089367,0.24879261550631576,-0.41887871994089365,5.533551264555328e-15,4.113376306236205e-14,-1.001507003170773,1.2434497875801753e-14,290.0,9.210160763129485e-14
1e-05,-0.74,0.1,0.4802431184035723,-0.18410653547465855,-0.041887871994089367,0.24879261550628634,-0.41887871994089365,-3.969414707017859e-15,-1.7541523789077473e-14,-1.0015070031707876,-5.2735593669694936e-15,290.0,9.210160763129485e-14
1e-05,-0.73,0.1,0.4802431184035728,-0.18161860931959578,-0.041887871994089367,0.24879261550627751,-0.41887871994089365,-5.324782666492024e-14,-3.547162563677375e-14,-1.0015070031707922,-1.04638520070921e-14,290.0,9.210160763129485e-14
1e-05,-0.72,0.1,0.4802431184035723,-0.17913068316453293,-0.041887871994089367,0.24879261550630172,-0.41887871994089365,3.3656113610344306e-14,1.3211653993039363e-14,-1.0015070031707798,3.95516952522712e-15,290.0,9.210160763129485e-14
1e-05,-0.71,0.1,0.4802431184035724,-0.17664275700946971,-0.041887871994089367,0.24879261550633086,-0.41887871994089365,9.749085280322663e-15,7.144285163462882e-14,-1.0015070031707654,2.1468937738688965e-14,290.0,9.210160763129485e-14
1e-05,-0.7,0.1,0.4802431184035722,-0.17415483085440644,-0.041887871994089367,0.24879261550631815,-0.41887871994089365,5.498341230366358e-15,4.618527782440651e-14,-1.0015070031707713,1.379452108096757e-14,290.0,9.210160763129485e-14
1e-05,-0.69,0.1,0.48024311840357187,-0.1716669046993432,-0.041887871994089367,0.24879261550632975,-0.41887871994089365,4.041566032890804e-14,6.955547249276606e-14,-1.0015070031707656,2.067790383364354e-14,290.0,9.210160763129485e-14
1e-05,-0.6799999999999999,0.1,0.4802431184035721,-0.16917897854427993,-0.041887871994089367,0.24879261550631726,-0.41887871994089365,2.6224261897886648e-14,4.446443213623752e-14,-1.0015070031707718,1.3225531780847177e-14,290.0,9.210160763129485e-14
1e-05,-0.6699999999999999,0.1,0.48024311840357187,-0.16669105238921675,-0.041887871994089367,0.24879261550632498,-0.41887871994089365,3.397951562979427e-14,6.000755448098971e-14,-1.001507003170768,1.7819079545233762e-14,290.0,9.210160763129485e-14
1e-05,-0.6599999999999999,0.1,0.48024311840357176,-0.16420312623415356,-0.041887871994089367,0.24879261550631,-0.41887871994089365,-3.3308458389049896e-14,3.008704396734174e-14,-1.0015070031707753,8.798517470154366e-15,290.0,9.210160763129485e-14
