time,B_anisotropy,B_par,B_per,J,Jbar,drained_c11,drained_c12,energy,ln_a,ln_h,mass,sigma11,sigma22,solid_fraction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.037912063065438,0.57737298283364,0.61528504589908,1.005,0.99777463710646,1.9872755801622,0.48727558016223,0.00014005276007554,0.007225362893537,4.4970997179056e-05,0.10725282660418,0.0055097976134839,-0.016990202386516,0.89352952576698
