time,p_l2,ux_l2,uy_l2
0,0,0,0
0.01,3.0641647867546e-07,2.659266517036e-09,2.728900977213e-09
0.02,6.222776960387e-07,5.3266087440155e-09,5.4678871124625e-09
0.03,9.3863803513643e-07,7.994008604492e-09,8.2069793164887e-09
0.04,1.25494860291e-06,1.0660668001433e-08,1.0945306137069e-08
0.05,1.5711408047565e-06,1.3326273810102e-08,1.3682548706086e-08
0.06,1.8871785971253e-06,1.5990552197695e-08,1.6418427231761e-08
0.07,2.2030291506806e-06,1.8653234419355e-08,1.9152666265323e-08
0.08,2.5186603203178e-06,2.1314053122586e-08,2.188499150607e-08
0.09,2.8340402364323e-06,2.3972741631114e-08,2.461512923833e-08
0.1,3.1491371778815e-06,2.6629033720868e-08,2.7342806159205e-08
0.11,3.4639195187081e-06,2.92826635375e-08,3.0067749318106e-08
0.12,3.7783557033461e-06,3.1933365568578e-08,3.2789686099348e-08
0.13,4.092414234762e-06,3.4580874641319e-08,3.5508344225725e-08
0.14,4.4060636690455e-06,3.722492593197e-08,3.8223451772882e-08
0.15,4.7192726134281e-06,3.9865254982402e-08,4.0934737187162e-08
0.16,5.0320097262135e-06,4.2501597720854e-08,4.3641929309003e-08
0.17,5.3442437178466e-06,4.5133690483645e-08,4.6344757395254e-08
0.18,5.6559433526665e-06,4.7761270038943e-08,4.9042951145632e-08
0.19,5.9670774510794e-06,5.0384073611729e-08,5.1736240727122e-08
0.2,6.2776148920209e-06,5.3001838908358e-08,5.4424356800283e-08
