time,p_l2,ux_l2,uy_l2
0,0,0,0
0.0001,1.8362482786882e-09,2.5856642667626e-11,2.6115310460186e-11
0.0002,3.908758632497e-09,5.1801019593796e-11,5.2413334116008e-11
0.0003,6.156993357118e-09,7.7823870931267e-11,7.8857735093423e-11
0.0004,8.5401170022218e-09,1.0391557706054e-10,1.0542275466197e-10
0.0005,1.1030735715358e-08,1.3006774949734e-10,1.3208923110849e-10
0.0006,1.3609363404348e-08,1.5627319728947e-10,1.5884223113482e-10
0.0007,1.6261407076541e-08,1.8252572026385e-10,1.8566971306463e-10
0.0008,1.8975508552346e-08,2.0881992969102e-10,2.1256173258275e-10
0.0009,2.1742572982958e-08,2.3515110976202e-10,2.3950993708102e-10
0.001,2.455516227984e-08,2.6151511293443e-10,2.665072250185e-10
0.0011,2.7407095218116e-08,2.8790827773648e-10,2.9354750405001e-10
0.0012,3.0293171614209e-08,3.1432736331509e-10,3.2062551307213e-10
0.0013,3.320897473999e-08,3.4076949608065e-10,3.4773668558942e-10
0.0014,3.6150725259399e-08,3.6723212495246e-10,3.7487704299574e-10
0.0015,3.911517027832e-08,3.9371298346904e-10,4.0204310883963e-10
0.0016,4.2099497118238e-08,4.2021005738803e-10,4.2923183879566e-10
0.0017,4.5101264872743e-08,4.4672155606207e-10,4.5644056226027e-10
0.0018,4.8118349209579e-08,4.7324588789887e-10,4.836669334968e-10
0.0019,5.1148897128566e-08,4.9978163820743e-10,5.1090889018517e-10
0.002,5.4191289401987e-08,5.2632754974322e-10,5.3816461761729e-10
0.0021,5.7244109085198e-08,5.5288250566399e-10,5.6543251826231e-10
0.0022,6.0306114862874e-08,5.794455138196e-10,5.9271118488458e-10
0.0023,6.3376218293469e-08,6.0601569327725e-10,6.1999937760677e-10
0.0024,6.6453464259735e-08,6.3259226181099e-10,6.4729600367857e-10
0.0025,6.9537014198343e-08,6.591745251936e-10,6.7460009966789e-10
0.0026,7.2626131486447e-08,6.8576186720186e-10,7.0191081616232e-10
0.0027,7.572016871141e-08,7.1235374095572e-10,7.292274040241e-10
0.0028,7.8818556728342e-08,7.3894966122083e-10,7.5654920231327e-10
0.0029,8.1920794995211e-08,7.6554919735826e-10,7.8387562779594e-10
0.003,8.5026443137414e-08,7.9215196723105e-10,8.1120616600521e-10
0.0031,8.8135113605287e-08,8.1875763164477e-10,8.3854036262491e-10
0.0032,9.124646521315e-08,8.4536588937152e-10,8.6587781637466e-10
0.0033,9.4360197462553e-08,8.7197647306938e-10,8.9321817306719e-10
0.0034,9.7476045636948e-08,8.9858914523232e-10,9.2056111933587e-10
0.0035,1.005937764105e-07,9.2520369471427e-10,9.4790637844779e-10
0.0036,1.037131840377e-07,9.5181993399824e-10,9.7525370567616e-10
0.0037,1.0683408702634e-07,9.7843769601078e-10,1.0026028842271e-09
0.0038,1.0995632519522e-07,1.0050568322864e-09,1.0299537222245e-09
0.0039,1.1307975703037e-07,1.0316772105466e-09,1.0573060498202e-09
0.004,1.1620425755191e-07,1.0582987126796e-09,1.0846597163977e-09
0.0041,1.1932971620446e-07,1.0849212336799e-09,1.1120145880432e-09
0.0042,1.2245603516628e-07,1.1115446795778e-09,1.1393705461722e-09
0.0043,1.2558312784685e-07,1.1381689663343e-09,1.1667274854674e-09
0.0044,1.2871091746994e-07,1.1647940189635e-09,1.194085311964e-09
0.0045,1.3183933597292e-07,1.1914197702216e-09,1.2214439420228e-09
0.0046,1.3496832289407e-07,1.2180461598598e-09,1.2488033013123e-09
0.0047,1.3809782453546e-07,1.2446731337651e-09,1.2761633233437e-09
0.0048,1.41227793112e-07,1.271300643298e-09,1.3035239489451e-09
0.0049,1.4435818608362e-07,1.2979286447061e-09,1.3308851247782e-09
0.005,1.4748896550591e-07,1.3245570985676e-09,1.3582468036595e-09
0.0051,1.506200975333e-07,1.3511859693089e-09,1.3856089425065e-09
0.0052,1.5375155190584e-07,1.3778152247907e-09,1.4129715034026e-09
0.0053,1.568833015368e-07,1.4044448358737e-09,1.4403344518067e-09
0.0054,1.6001532216949e-07,1.4310747760852e-09,1.467697756659e-09
0.0055,1.6314759200936e-07,1.457705021617e-09,1.4950613899716e-09
0.0056,1.6628009149564e-07,1.4843355506041e-09,1.5224253265625e-09
0.0057,1.6941280301151e-07,1.5109663430791e-09,1.5497895435645e-09
0.0058,1.7254571068174e-07,1.5375973809995e-09,1.5771540200436e-09
0.0059,1.7567880015542e-07,1.5642286478211e-09,1.6045187373693e-09
0.006,1.7881205845921e-07,1.5908601283515e-09,1.6318836781954e-09
0.0061,1.8194547384278e-07,1.6174918085063e-09,1.6592488270179e-09
0.0062,1.8507903563796e-07,1.6441236756123e-09,1.6866141693471e-09
0.0063,1.8821273414318e-07,1.6707557177593e-09,1.7139796924873e-09
0.0064,1.9134656051324e-07,1.6973879242158e-09,1.7413453840685e-09
0.0065,1.944805066966e-07,1.7240202847523e-09,1.7687112333959e-09
0.0066,1.9761456530385e-07,1.750652790186e-09,1.7960772298857e-09
0.0067,2.0074872960116e-07,1.7772854316959e-09,1.8234433646562e-09
0.0068,2.03882993373e-07,1.8039182014286e-09,1.8508096288809e-09
0.0069,2.0701735094004e-07,1.8305510917971e-09,1.8781760145447e-09
0.007,2.1015179704439e-07,1.8571840958666e-09,1.9055425142149e-09
0.0071,2.1328632685063e-07,1.8838172071276e-09,1.9329091210684e-09
0.0072,2.1642093587646e-07,1.9104504194731e-09,1.9602758287323e-09
0.0073,2.1955561998176e-07,1.9370837271401e-09,1.987642631045e-09
0.0074,2.2269037530805e-07,1.9637171248646e-09,2.0150095224656e-09
0.0075,2.2582519830843e-07,1.9903506075003e-09,2.0423764977637e-09
0.0076,2.2896008563683e-07,2.0169841703268e-09,2.0697435521145e-09
0.0077,2.3209503418974e-07,2.0436178089705e-09,2.097110680812e-09
0.0078,2.3523004107278e-07,2.0702515190423e-09,2.1244778795322e-09
0.0079,2.3836510357615e-07,2.0968852967295e-09,2.151845144202e-09
0.008,2.4150021914362e-07,2.1235191381036e-09,2.1792124709961e-09
0.0081,2.4463538542171e-07,2.1501530396211e-09,2.2065798562867e-09
0.0082,2.4777060014713e-07,2.1767869978793e-09,2.2339472964398e-09
0.0083,2.5090586121913e-07,2.2034210096423e-09,2.2613147884515e-09
0.0084,2.5404116664839e-07,2.2300550718406e-09,2.2886823289807e-09
0.0085,2.5717651455793e-07,2.2566891815601e-09,2.3160499151467e-09
0.0086,2.6031190317846e-07,2.283323335981e-09,2.3434175442197e-09
0.0087,2.6344733084458e-07,2.3099575324219e-09,2.3707852134137e-09
0.0088,2.6658279596967e-07,2.3365917683701e-09,2.3981529201977e-09
0.0089,2.6971829701856e-07,2.3632260413211e-09,2.4255206621811e-09
0.009,2.7285383258534e-07,2.389860348958e-09,2.4528884371213e-09
0.0091,2.7598940131192e-07,2.4164946891444e-09,2.4802562425486e-09
0.0092,2.7912500190183e-07,2.4431290595642e-09,2.5076240764849e-09
0.0093,2.8226063313854e-07,2.4697634582464e-09,2.5349919367402e-09
0.0094,2.8539629381899e-07,2.4963978831439e-09,2.562359821704e-09
0.0095,2.8853198285153e-07,2.5230323325859e-09,2.5897277290041e-09
0.0096,2.9166769915776e-07,2.5496668044768e-09,2.617095657148e-09
0.0097,2.9480344173258e-07,2.5763012971584e-09,2.6444636040946e-09
0.0098,2.9793920958886e-07,2.6029358088146e-09,2.671831568555e-09
0.0099,3.0107500179013e-07,2.6295703379044e-09,2.699199548595e-09
0.01,3.0421081743803e-07,2.6562048828672e-09,2.7265675427702e-09
