time,p_l2,ux_l2,uy_l2
0,0,0,0
0.02,6.2533289334718e-07,5.3315398950138e-09,5.4710073870224e-09
0.04,1.2635414952803e-06,1.0675342298987e-08,1.0953956113056e-08
0.06,1.9016791683154e-06,1.6015545669967e-08,1.6432994361811e-08
0.08,2.5390836760208e-06,2.1349408450945e-08,2.1905488966829e-08
0.1,3.1754791316626e-06,2.6674750697438e-08,2.7369228824904e-08
0.12,3.810607516616e-06,3.1989432477345e-08,3.2822024767931e-08
0.14,4.4442134605374e-06,3.7291324086085e-08,3.8261694287637e-08
0.16,5.0760428735008e-06,4.2578302903172e-08,4.3686060860471e-08
0.18,5.705842668381e-06,4.7848253133418e-08,4.9092954408035e-08
0.2,6.3333607154943e-06,5.3099066221876e-08,5.448021200144e-08
