time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0,-0.037912063065438,0.57737298283364,0.61528504589908,1,1,1,1,0,0,-0,-0,0.01,0,0,0,0,0,0.9,0.9,2.5,2.5,0,0
0.0025,-0.037912063065438,0.57737298283364,0.61528504589908,0.9999919582521,0.99998114110703,0.99999202019076,0.99999115965625,2.1664644506782e-05,1.0260911083383e-21,4.0163600795494e-06,3.1033647917893e-06,0.0099999050726688,-3.7970932463067e-05,2.8901693676805e-05,-8.4699670795744e-07,-1.2841891120875e-06,-1.9568938833214e-06,0.90000901686434,0.89999946680195,2.5,2.5,-8.9572703129043e-07,-2.4999999999996e-05
0.005,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998395505339,0.99996241287276,0.99998390434432,0.9999824478283,4.3183580498698e-05,1.9560410018324e-21,8.1228291141873e-06,6.5408071525604e-06,0.0099997642674163,-5.6322101027092e-05,4.6633769974986e-05,-1.7107952281053e-06,-2.628609326812e-06,-3.8819646303911e-06,0.90001803213776,0.89999893666291,2.5,2.5,-1.8317570543345e-06,-4.9999999999991e-05
0.0075,-0.037912063065438,0.57737298283364,0.61528504589908,0.99997597829487,0.99994381124781,0.99997573993857,0.99997381350171,6.4588183886034e-05,2.8394416496307e-21,1.2310780121231e-05,1.0178566156214e-05,0.0099995891192628,-7.0059261386654e-05,6.0161973906518e-05,-2.5873065574032e-06,-4.0010680332357e-06,-5.7832134870933e-06,0.90002700354581,0.89999841107193,2.5,2.5,-2.7979567452532e-06,-7.5000000000028e-05
0.01,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996801869183,0.99992531152156,0.99996755632178,0.99996523343333,8.5887863864525e-05,3.6894841689847e-21,1.6568627473086e-05,1.3956345579254e-05,0.0099993855232697,-8.1438397243359e-05,7.1445352423636e-05,-3.4746128321654e-06,-5.3912752054361e-06,-7.6647295518766e-06,0.90003593240433,0.89999789365831,2.5,2.5,-3.7891473906712e-06,-9.9999999999987e-05
0.0125,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996810824302,0.99992575481222,0.99996734568312,0.99996553552573,8.5415578852792e-05,3.4856909474654e-21,1.6878289482404e-05,1.4738592215948e-05,0.0099992521036768,-5.3367837150805e-05,5.2393381565204e-05,-3.5247300651403e-06,-5.5104035038223e-06,-7.5721832953807e-06,0.90003580530053,0.89999792354332,2.5,2.5,-3.9063542864116e-06,-9.9999999999996e-05
0.015,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996815561452,0.99992613936548,0.99996727033744,0.99996574335581,8.4971210924035e-05,3.3535182083114e-21,1.713264864094e-05,1.5201093620225e-05,0.0099991424011941,-4.3880993101285e-05,4.3497252986812e-05,-3.5673894051283e-06,-5.5798377707433e-06,-7.4960883689354e-06,0.90003564622415,0.8999979724112,2.5,2.5,-4.0027260949387e-06,-0.00010000000000001
0.0175,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996816067054,0.99992646051924,0.99996724611904,0.99996590289858,8.4507321943497e-05,3.2455713636684e-21,1.7348303568382e-05,1.5428075352266e-05,0.0099990468239882,-3.8230882325064e-05,3.8040266767536e-05,-3.6065441297933e-06,-5.6301434562913e-06,-7.429791414991e-06,0.90003550075212,0.8999980483679,2.5,2.5,-4.0866890823476e-06,-9.9999999999996e-05
0.02,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996811970897,0.99992673648487,0.99996724560703,0.99996603380851,8.3994974918495e-05,3.1503101734089e-21,1.7539299006414e-05,1.5633348353534e-05,0.0099989610039885,-3.432799990496e-05,3.4225016214773e-05,-3.6441833667892e-06,-5.6704875952789e-06,-7.370262529175e-06,0.90003537018262,0.89999815837689,2.5,2.5,-4.1620805263453e-06,-9.9999999999999e-05
0.0225,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996802932605,0.99992698000193,0.99996725759212,0.99996613947432,8.3415404402883e-05,3.0634360830233e-21,1.7713068672976e-05,1.5823073782368e-05,0.0099988824850828,-3.1407562276298e-05,3.1352131606926e-05,-3.6814881649542e-06,-5.7046842057041e-06,-7.3157980339e-06,0.90003525182955,0.89999830750704,2.5,2.5,-4.2310580804996e-06,-0.0001
0.025,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996788777018,0.99992719925004,0.99996727671532,0.99996620743495,8.2757755279917e-05,2.9828128744103e-21,1.7873848619521e-05,1.6001186198646e-05,0.0099988097113002,-2.9109513050956e-05,2.9082790576833e-05,-3.7191779717663e-06,-5.7346736041742e-06,-7.265318632735e-06,0.90003514325936,0.89999849856083,2.5,2.5,-4.2949886394911e-06,-9.9999999999989e-05
0.0275,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996769527522,0.99992739964498,0.99996730011937,0.99996627165243,8.201768410255e-05,2.9071667822835e-21,1.8024301088371e-05,1.6170335688354e-05,0.0099987416187293,-2.7237028346056e-05,2.7228881700211e-05,-3.7576636358955e-06,-5.7615800814341e-06,-7.2180863455331e-06,0.90003504262873,0.89999873212737,2.5,2.5,-4.3548068317218e-06,-0.00010000000000002
0.03,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996745387229,0.99992758493011,0.99996732615638,0.99996633285912,8.1195956576947e-05,2.8356465866323e-21,1.8166235918656e-05,1.6332355170146e-05,0.009998677440147,-2.567143291408e-05,2.567589377127e-05,-3.7971399783499e-06,-5.7861161843829e-06,-7.1735689893515e-06,0.90003494856458,0.89999900692673,2.5,2.5,-4.4111866500113e-06,-9.9999999999983e-05
0.0325,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996716696878,0.99992775779664,0.99996735381869,0.99996639158295,8.0297038826394e-05,2.7676402051891e-21,1.8300957561999e-05,1.6488529692984e-05,0.0099986166001218,-2.4336010070734e-05,2.4349322405804e-05,-3.837652498615e-06,-5.8087638411727e-06,-7.1313674172047e-06,0.90003486002998,0.89999932028463,2.5,2.5,-4.4646336013473e-06,-0.00010000000000001
0.035,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996683887463,0.99992792024505,0.99996738246178,0.99996644820848,7.932781759339e-05,2.7026853338739e-21,1.8429447835412e-05,1.6639767710683e-05,0.0099985586538684,-2.3178501356946e-05,2.3198179238574e-05,-3.8791479921995e-06,-5.8298653979096e-06,-7.0911731045589e-06,0.90003477622621,0.89999966861423,2.5,2.5,-4.5155384222467e-06,-9.9999999999992e-05
0.0375,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996647437525,0.99992807380437,0.99996741165853,0.99996650301824,7.8296543275931e-05,2.6404205182895e-21,1.8552470193599e-05,1.6786716219212e-05,0.0099985032493184,-2.216182002302e-05,2.2186151246242e-05,-3.9215125860914e-06,-5.8496735163144e-06,-7.052741839782e-06,0.90003469652591,0.90000004783377,2.5,2.5,-4.5642103989941e-06,-0.00010000000000001
0.04,-0.037912063065438,0.57737298283364,0.61528504589908,0.99996607839257,0.99992821967069,0.99996744111775,0.99996655621882,7.7212024697465e-05,2.5805558969194e-21,1.8670633335405e-05,1.6929840211266e-05,0.0099984501024104,-2.125876319702e-05,2.1286529613609e-05,-3.964599396982e-06,-5.8683804301913e-06,-7.0158765842904e-06,0.90003462042756,0.90000045369224,2.5,2.5,-4.610899074695e-06,-9.9999999999986e-05
