id,p,ux,uy,x,y,z
0.78,3.6558432875261e-05,4.1601361246727e-05,0,0.78,0,0
0.79,3.4896685926385e-05,4.2130235143492e-05,0,0.79,0,0
0.8,3.323493897751e-05,4.2651987267618e-05,0,0.8,0,0
0.81,3.1573192028634e-05,4.3166617619107e-05,0,0.81,0,0
0.82,2.9911445079759e-05,4.3674126197957e-05,0,0.82,0,0
0.83,2.8249698130883e-05,4.4174513004169e-05,0,0.83,0,0
0.84,2.6587951182008e-05,4.4667778037744e-05,0,0.84,0,0
0.85,2.4926204233132e-05,4.515392129868e-05,0,0.85,0,0
0.86,2.3264457284257e-05,4.5632942786978e-05,0,0.86,0,0
0.87,2.1602710335381e-05,4.6104842502638e-05,0,0.87,0,0
0.88,1.9940963386506e-05,4.656962044566e-05,0,0.88,0,0
0.89,1.827921643763e-05,4.7027276616043e-05,0,0.89,0,0
0.9,1.6617469488755e-05,4.7477811013789e-05,0,0.9,0,0
0.91,1.4955722539879e-05,4.7921223638897e-05,0,0.91,0,0
0.92,1.3293975591004e-05,4.8357514491366e-05,0,0.92,0,0
0.93,1.1632228642128e-05,4.8786683571198e-05,0,0.93,0,0
0.94,9.9704816932529e-06,4.9208730878391e-05,0,0.94,0,0
0.95,8.3087347443774e-06,4.9623656412947e-05,0,0.95,0,0
0.96,6.646987795502e-06,5.0031460174864e-05,0,0.96,0,0
0.97,4.9852408466265e-06,5.0432142164143e-05,0,0.97,0,0
0.98,3.323493897751e-06,5.0825702380784e-05,0,0.98,0,0
0.99,1.6617469488755e-06,5.1212140824787e-05,0,0.99,0,0
1,-4.7528869539566e-29,5.1591457496152e-05,0,1,0,0
