time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,1.1102230246252e-16,0.6,0.6,0.99998931398493,0.99997382490521,0.99998732617094,0.9999861788317,3.5963621105535e-05,5.1591457496152e-05,-2.8984319515213e-05,-3.5179951401432e-05,0.0099998450057068,-0.00023249143984088,2.4926204233131e-05,-6.5757262383142e-06,-6.5757262383142e-06,0.90001215145722,0.89999717833194,2.5,2.5,-0.00010000000000004
0.002,1.1102230246252e-16,0.6,0.6,0.99998807606819,0.9999736213216,0.99998731768133,0.99998624695932,3.6118969860806e-05,5.1405844220659e-05,-2.8966524933183e-05,-3.4748423546338e-05,0.009999815296532,-4.4563765710557e-05,2.2961919398624e-05,-6.5863327110641e-06,-6.5863327110653e-06,0.90001232704885,0.89999835378239,2.5,2.5,-9.9999999921988e-05
0.003,1.1102230246252e-16,0.6,0.6,0.99998747248993,0.99997344975908,0.9999873090223,0.99998627030149,3.6163929824772e-05,5.1237576569181e-05,-2.895559168854e-05,-3.4564684007932e-05,0.0099997883636938,-4.0399259655534e-05,2.1342637966067e-05,-6.5959480051419e-06,-6.5959480051433e-06,0.90001247366802,0.89999891801686,2.5,2.5,-9.999999994621e-05
