time,B_anisotropy,B_par,B_per,J,Jbar,drained_c11,drained_c12,energy,ln_a,ln_h,mass,sigma11,sigma22,solid_fraction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.60264769154394,0.60264769154394,1.005,0.99777463710646,1.9872755801622,0.48727558016223,0.00014005276007554,0.007225362893537,4.4970997179056e-05,0.10728441999007,0.0053834240699325,-0.017116575930068,0.89352952576698
