time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,1,1,1,1,0,0,0.16,0,0,0,0,0.6,0.6,28,28,0
0.001,0.99110646822097,0.98760087216348,0.99421980391478,0.99379720706677,0.10399413609308,0.011042035424476,0.15950539392384,-0.49460607615507,0.31245377528474,-0.0029739875876772,-0.002973987587679,0.60400592139873,0.60162893072289,28.06028464145,28.004327132725,-0.70000000000224
0.002,0.98238212577502,0.97541545856746,0.98859415023355,0.98772083786179,0.20694274561861,0.021421985700702,0.15879563131227,-0.7097626115745,0.51590046217312,-0.005856957545713,-0.0058569575457143,0.60804888667047,0.60326067581865,28.1192223882,28.007222132859,-1.3999999999998
0.003,0.98217542919742,0.97506100492348,0.98849810560482,0.98760487242534,0.20805573093771,0.020808722600746,0.15838741835062,-0.40821296165213,0.38167068269186,-0.005913538450179,-0.005913538450179,0.60821058926436,0.60331679321536,28.119829647741,28.005343936286,-1.4
0.004,0.98196956828802,0.97480973736595,0.9884156586971,0.98751535594558,0.20790122828679,0.020311874350445,0.15805682347033,-0.33059488028364,0.31595247614217,-0.0059593479228358,-0.0059593479228358,0.60831625934091,0.60338858376086,28.11970165531,28.00442437493,-1.4
0.005,0.98174646120221,0.97460653214867,0.98834245148569,0.98744299256974,0.20652211138341,0.019881591021329,0.15777059628599,-0.28622718433938,0.27632099309063,-0.0059990003938646,-0.0059990003938646,0.60839760859565,0.60348148953118,28.11886741775,28.003869905114,-1.4
0.006,0.98150152381116,0.97443127654422,0.98827589330841,0.98738322336616,0.20403088692066,0.019495508481692,0.15751383412307,-0.2567621629232,0.24924804411138,-0.0060345661578293,-0.0060345661578293,0.60846561258451,0.60359556075719,28.11739621276,28.00349117992,-1.4
0.007,0.98123669249847,0.97427461348682,0.9882143863313,0.98733309560014,0.20061051733817,0.019141553936819,0.15727849790743,-0.23533621563583,0.22923246608155,-0.0060671628420671,-0.0060671628420671,0.60852513570162,0.60372782317765,28.115396030362,28.003211203302,-1.4
0.008,0.98095658858055,0.97413141693502,0.98815688848847,0.98729043001351,0.19646950487774,0.018812400674298,0.1570597118817,-0.21878602573024,0.21360193731125,-0.0060974688063518,-0.0060974688063518,0.60857873859753,0.60387412143493,28.112987683326,28.002992576773,-1.4
0.009,0.98066637968896,0.97399856144405,0.98810268741732,0.98725355629042,0.19180582819476,0.018503251360113,0.15685428471981,-0.20542716189859,0.20088551984492,-0.0061259282892021,-0.0061259282892021,0.608627934147,0.60403026948837,28.110284736009,28.00281471673,-1.4
0.01,0.98037075722851,0.97387399976502,0.98805127803552,0.9872211919526,0.1867888488098,0.018210798144525,0.15666001595848,-0.19426876132535,0.19019902949742,-0.0061528476155769,-0.0061528476155769,0.6086736890528,0.60419260490284,28.107383746462,28.002665250918,-1.4
0.011,0.98007357075653,0.97375632240801,0.98800229177597,0.9871923596254,0.18155444125854,0.017932673487993,0.15647532997273,-0.18468598574625,0.1809767454196,-0.0061784460066665,-0.0061784460066665,0.60871665567401,0.60435816400968,28.104361877895,28.002536263459,-1.4
0.012,0.97977779416959,0.97364452305092,0.98795545314487,0.98716631991341,0.1762071452915,0.017667133097858,0.1562990648878,-0.1762650849329,0.17284032876236,-0.0062028849257326,-0.0062028849257326,0.6087572918995,0.60452466304329,28.101278341009,28.002422460483,-1.4
0.013,0.97948563078085,0.97353786259343,0.98791055171084,0.98714251608543,0.17082507523021,0.017412860119944,0.15613034239568,-0.16872249211806,0.16552869758243,-0.0062262862115564,-0.0062262862115564,0.60879592883503,0.60469040105063,28.098177293642,28.00232018888,-1.4
0.014,0.97919865803728,0.97343578509004,0.98786742335379,0.98712052966792,0.16546530081743,0.017168837992825,0.15596848334069,-0.161859054995,0.15885760473033,-0.0062487438603683,-0.0062487438603683,0.608832811764,0.60485414484749,28.095090946295,28.002226870712,-1.4
0.015,0.97891796743404,0.97333786315147,0.98782593736497,0.98710004577317,0.16016869639704,0.016934264820152,0.15581295094165,-0.15553239903578,0.1526948702321,-0.0062703319647708,-0.0062703319647708,0.60886812629891,0.60501502259414,28.092042334325,28.002140656666,-1.4
0.016,0.9786442834527,0.97324376118512,0.98778598739951,0.98708082659903,0.15496393850993,0.01670849419203,0.15566331159241,-0.14963934923841,0.14694445042771,-0.0062911102026737,-0.0062911102026737,0.60890201576311,0.60517243501484,28.089047592055,28.002060203145,-1.4
0.017,0.97837805844034,0.97315321000132,0.98774748504602,0.98706269147322,0.14987064656009,0.016490993542806,0.1555192072991,-0.14410429331656,0.1415358033665,-0.0063111277006903,-0.0063111277006903,0.60893459308662,0.60532598521779,28.086117734368,28.001984523458,-1.4
0.018,0.97811954564388,0.97306598895353,0.98771035521411,0.98704550197581,0.1449017815207,0.01628131448328,0.15538033605239,-0.13887124670917,0.13641659327931,-0.0063304257869297,-0.0063304257869297,0.60896594911751,0.60547542491144,28.083260015085,28.001912885726,-1.4
0.019,0.97786885423502,0.97298191322068,0.98767453280495,0.98702915092061,0.14006544640386,0.016079071482356,0.15524643772626,-0.13389832612715,0.13154758775263,-0.006349039969074,-0.006349039969074,0.6089961585129,0.60562061395691,28.080478945471,28.001844741467,-1.4
0.02,0.97762599020949,0.97290082467341,0.98763996029664,0.98701355422941,0.13536622285328,0.015883926455315,0.15511728388271,-0.12915384355417,0.12689904042272,-0.0063670013642537,-0.0063670013642537,0.60902528395564,0.60576149031058,28.07777704981,28.001779674965,-1.4
0.021,0.97739088651712,0.97282258527461,0.98760658598696,0.98699864495565,0.13080615623653,0.015695577571684,0.15499267036493,-0.1246135177783,0.1224481033201,-0.006384337737246,-0.006384337737246,0.60905337919332,0.60589804786175,28.075155422024,28.001717367048,-1.4
0.022,0.97716342512152,0.97274707228987,0.98757436271033,0.98698436889579,0.12638547814193,0.015513751097215,0.15487241189464,-0.1202584702864,0.11817696447424,-0.0064010742570266,-0.0064010742570266,0.60908049123897,0.60603032017806,28.072614133785,28.00165756902,-1.4
0.023,0.9769434530769,0.97267417479882,0.987543246898,0.98697068136903,0.12210313445259,0.015338195426987,0.15475633811625,-0.11607377839504,0.11407150204432,-0.0064172340499383,-0.0064172340499383,0.60910666197074,0.60615836862965,28.07015253274,28.001600083811,-1.4
0.024,0.97673079419984,0.97260379114564,0.98751319788731,0.98695754485455,0.11795717030495,0.015168676705356,0.15464429068874,-0.11204742751051,0.11012030905077,-0.0064328386055834,-0.0064328386055834,0.60913192929819,0.60628227373832,28.067769459863,28.001544752333,-1.4
0.025,0.97652525751287,0.97253582706968,0.98748417741169,0.98694492725698,0.11394501010147,0.015004975597365,0.15453612113791,-0.10816955082244,0.1063139853085,-0.0064479080758671,-0.0064479080758671,0.6091563280151,0.60640212889251,28.06546340753,28.001491443558,-1.4
0.026,0.97632664332937,0.97247019432921,0.98745614922223,0.98693280063188,0.11006366076433,0.014846884896779,0.15443168926119,-0.10443187672512,0.10264462262236,-0.0064624614964216,-0.0064624614964216,0.6091798904251,0.60651803579297,28.063232634241,28.001440047313,-1.4
0.027,0.97613474761912,0.97240680968352,0.98742907880478,0.98692114024754,0.10630985894571,0.014694207742681,0.15433086193448,-0.10082732670445,0.099105430049216,-0.0064765169515859,-0.0064765169515859,0.60920264680231,0.60663010116208,28.061075247687,28.001390469036,-1.4
0.028,0.97594936512318,0.97234559413546,0.98740293316703,0.98690992389273,0.10268017737173,0.014546756279091,0.15423351221212,-0.097349722372228,0.095690460805147,-0.0064900916983025,-0.0064900916983043,0.6092246257321,0.60673843437438,28.058989264741,28.001342625948,-1.4000000000019
0.029,0.97577029155588,0.97228647236379,0.98737768067493,0.98689913136433,0.09917110141201,0.014404350637666,0.15413951864039,-0.093993571739297,0.092394412977112,-0.0065032022600872,-0.0065032022600893,0.60924585436461,0.60684314575942,28.056972654635,28.001296444269,-1.3999999999968
0.03,0.97559732515524,0.97222937229387,0.98735329092899,0.98688874408606,0.09577908398085,0.014266818155407,0.15404876472733,-0.090753913061656,0.089212483908132,-0.0065158644991591,-0.0065158644991608,0.60926635860474,0.60694434539008,28.055023369907,28.001251857175,-1.399999999999
0.031,0.9754302677439,0.97217422476841,0.9873297346662,0.98687874482564,0.092500584673362,0.014133992765557,0.1539611385268,-0.087626200529727,0.086140263507375,-0.0065280936726361,-0.0065280936726377,0.60928616325601,0.60704214222987,28.053139368438,28.001208803311,-1.4000000000006
0.032,0.97526892545317,0.97212096328873,0.9873069836773,0.98686911747736,0.08933209742364,0.014005714513501,0.15387653230645,-0.084606220348067,0.083173655971627,-0.0065399044770496,-0.0065399044770511,0.60930529213194,0.60713664353512,28.051318629024,28.001167225689,-1.4000000000018
0.033,0.97511310918833,0.97206952382362,0.98728501074954,0.98685984690263,0.086270169871695,0.013881829166132,0.15379484227752,-0.081690028929076,0.080308822056477,-0.006551311084288,-0.0065513110842895,0.60932376813785,0.60722795444705,28.049559162244,28.001127070891,-1.3999999999998
0.034,0.97496263492446,0.97201984463083,0.98726378960888,0.98685091880389,0.083311416640846,0.013762187888331,0.15371596837028,-0.078873907237584,0.077542136392929,-0.0065623271712742,-0.0065623271712755,0.60934161334411,0.6073161777164,28.047859017921,28.001088288461,-1.3999999999978
0.035,0.97481732386208,0.97197186613942,0.98724329487501,0.98684231962766,0.080452528274704,0.013646646971542,0.15363981404362,-0.076154326655576,0.074870155633207,-0.0065729659448906,-0.0065729659448918,0.60935884903506,0.60740141352963,28.046216290104,28.001050830472,-1.3999999999999
