axial_over_volume,normalized_coupling,shear_per_pressure
0.02,-0.9,-0.05162129091465281
0.02,-0.875,-0.05011933174224344
0.02,-0.85,-0.04862329341774084
0.02,-0.825,-0.04713298166098532
0.02,-0.8,-0.04564820450395618
0.02,-0.775,-0.04416877220311938
0.02,-0.75,-0.04269449715370018
0.02,-0.725,-0.04122519380579618
0.02,-0.7,-0.0397606785822478
0.02,-0.675,-0.03830076979818805
0.02,-0.65,-0.03684528758219334
0.02,-0.625,-0.03539405379896177
0.02,-0.6,-0.033946891973446
0.02,-0.575,-0.03250362721637052
0.02,-0.55,-0.031064086151065595
0.02,-0.525,-0.029628096841550818
0.02,-0.5,-0.02819548872180452
0.02,-0.475,-0.026766092526155628
0.02,-0.45,-0.025339740220737296
0.02,-0.425,-0.023916264935941935
0.02,-0.4,-0.022495500899820046
0.02,-0.375,-0.021077283372365342
0.02,-0.35,-0.019661448580630674
0.02,-0.32499999999999996,-0.01824783365461997
0.02,-0.29999999999999993,-0.01683627656390301
0.02,-0.275,-0.015426616054900057
0.02,-0.25,-0.014018691588785045
0.02,-0.22499999999999998,-0.012612343279956644
0.02,-0.19999999999999996,-0.011207411835026895
0.02,-0.17499999999999993,-0.009803738492278384
0.02,-0.15000000000000002,-0.008401164961541334
0.02,-0.125,-0.006999533364442374
0.02,-0.09999999999999998,-0.005598686174977599
0.02,-0.07499999999999996,-0.004198466160362743
0.02,-0.04999999999999993,-0.0027987163221135816
0.02,-0.025000000000000022,-0.0013992798373103968
0.02,0.0,-0.0
0.02,0.025000000000000022,0.0013992798373103968
0.02,0.050000000000000044,0.0027987163221135916
0.02,0.07500000000000007,0.004198466160362745
0.02,0.09999999999999998,0.0055986861749776065
0.02,0.1250000000000001,0.006999533364442372
0.02,0.15000000000000002,0.008401164961541335
0.02,0.17499999999999993,0.009803738492278393
0.02,0.20000000000000007,0.011207411835026897
0.02,0.22499999999999998,0.01261234327995665
0.02,0.2500000000000001,0.014018691588785057
0.02,0.275,0.01542661605490007
0.02,0.30000000000000016,0.016836276563903043
0.02,0.32500000000000007,0.018247833654619988
0.02,0.35,0.019661448580630663
0.02,0.3750000000000001,0.021077283372365346
0.02,0.4,0.022495500899820053
0.02,0.42500000000000016,0.023916264935941928
0.02,0.45000000000000007,0.0253397402207373
0.02,0.475,0.026766092526155652
0.02,0.5000000000000001,0.028195488721804517
0.02,0.525,0.029628096841550818
0.02,0.5500000000000002,0.031064086151065623
0.02,0.5750000000000001,0.03250362721637054
0.02,0.6,0.03394689197344598
0.02,0.6250000000000001,0.03539405379896179
0.02,0.65,0.03684528758219334
0.02,0.6750000000000002,0.03830076979818806
0.02,0.7000000000000001,0.039760678582247806
0.02,0.725,0.04122519380579618
0.02,0.7500000000000001,0.04269449715370019
0.02,0.775,0.04416877220311936
0.02,0.8000000000000002,0.0456482045039562
0.02,0.8250000000000001,0.047132981660985326
0.02,0.85,0.04862329341774085
0.02,0.8750000000000001,0.05011933174224344
0.02,0.9,0.051621290914652805
0.022440369086039275,-0.9,-0.05438771435512541
0.022440369086039275,-0.875,-0.05279696029230453
0.022440369086039275,-0.85,-0.0512131903521428
0.022440369086039275,-0.825,-0.0496361719553308
0.022440369086039275,-0.8,-0.0480656755833258
0.022440369086039275,-0.775,-0.04650147465937824
0.022440369086039275,-0.75,-0.044943345432422704
0.022440369086039275,-0.725,-0.043391066863702116
0.022440369086039275,-0.7,-0.0418444205159997
0.022440369086039275,-0.675,-0.040303190445357066
0.022440369086039275,-0.65,-0.03876716309516084
0.022440369086039275,-0.625,-0.03723612719248451
0.022440369086039275,-0.6,-0.03570987364657595
0.022440369086039275,-0.575,-0.03418819544938384
0.022440369086039275,-0.55,-0.032670887578020856
0.022440369086039275,-0.525,-0.031157746899063095
0.022440369086039275,-0.5,-0.029648572074589614
0.022440369086039275,-0.475,-0.02814316346986754
0.022440369086039275,-0.45,-0.02664132306259157
0.022440369086039275,-0.425,-0.02514285435358906
0.022440369086039275,-0.4,-0.023647562278903692
0.022440369086039275,-0.375,-0.022155253123173596
0.022440369086039275,-0.35,-0.020665734434221327
0.022440369086039275,-0.32499999999999996,-0.019178814938775043
0.022440369086039275,-0.29999999999999993,-0.017694304459242274
0.022440369086039275,-0.275,-0.016212013831458705
0.022440369086039275,-0.25,-0.014731754823336825
0.022440369086039275,-0.22499999999999998,-0.013253340054339422
0.022440369086039275,-0.19999999999999996,-0.01177658291570552
0.022440369086039275,-0.17499999999999993,-0.010301297491356259
0.022440369086039275,-0.15000000000000002,-0.00882729847941022
0.022440369086039275,-0.125,-0.0073544011142379255
0.022440369086039275,-0.09999999999999998,-0.005882421088986549
0.022440369086039275,-0.07499999999999996,-0.004411174478506252
0.022440369086039275,-0.04999999999999993,-0.0029404776626103793
0.022440369086039275,-0.025000000000000022,-0.0014701472496019996
0.022440369086039275,0.0,-0.0
0.022440369086039275,0.025000000000000022,0.0014701472496020094
0.022440369086039275,0.050000000000000044,0.0029404776626103845
0.022440369086039275,0.07500000000000007,0.004411174478506257
0.022440369086039275,0.09999999999999998,0.005882421088986539
0.022440369086039275,0.1250000000000001,0.00735440111423794
0.022440369086039275,0.15000000000000002,0.008827298479410226
0.022440369086039275,0.17499999999999993,0.01030129749135627
0.022440369086039275,0.20000000000000007,0.011776582915705523
0.022440369086039275,0.22499999999999998,0.013253340054339424
0.022440369086039275,0.2500000000000001,0.014731754823336825
0.022440369086039275,0.275,0.016212013831458733
0.022440369086039275,0.30000000000000016,0.017694304459242284
0.022440369086039275,0.32500000000000007,0.019178814938775057
0.022440369086039275,0.35,0.02066573443422132
0.022440369086039275,0.3750000000000001,0.022155253123173603
0.022440369086039275,0.4,0.023647562278903692
0.022440369086039275,0.42500000000000016,0.02514285435358906
0.022440369086039275,0.45000000000000007,0.026641323062591593
0.022440369086039275,0.475,0.028143163469867546
0.022440369086039275,0.5000000000000001,0.029648572074589628
0.022440369086039275,0.525,0.031157746899063102
0.022440369086039275,0.5500000000000002,0.03267088757802086
0.022440369086039275,0.5750000000000001,0.034188195449383854
0.022440369086039275,0.6,0.03570987364657595
0.022440369086039275,0.6250000000000001,0.037236127192484536
0.022440369086039275,0.65,0.038767163095160845
0.022440369086039275,0.6750000000000002,0.04030319044535709
0.022440369086039275,0.7000000000000001,0.04184442051599971
0.022440369086039275,0.725,0.043391066863702116
0.022440369086039275,0.7500000000000001,0.044943345432422725
0.022440369086039275,0.775,0.04650147465937825
0.022440369086039275,0.8000000000000002,0.048065675583325806
0.022440369086039275,0.8250000000000001,0.04963617195533082
0.022440369086039275,0.85,0.0512131903521428
0.022440369086039275,0.8750000000000001,0.05279696029230453
0.022440369086039275,0.9,0.05438771435512541
0.025178508235883353,-0.9,-0.05726687182570481
0.025178508235883353,-0.875,-0.05558221062441166
0.025178508235883353,-0.85,-0.053905780295995145
0.025178508235883353,-0.825,-0.05223730229218135
0.025178508235883353,-0.8,-0.05057650211253874
0.025178508235883353,-0.775,-0.04892310914284546
0.025178508235883353,-0.75,-0.0472768564977136
0.025178508235883353,-0.725,-0.04563748086727027
0.025178508235883353,-0.7,-0.044004722367701414
0.025178508235883353,-0.675,-0.04237832439547255
0.025178508235883353,-0.65,-0.040758033485046995
0.025178508235883353,-0.625,-0.039143599169929155
0.025178508235883353,-0.6,-0.03753477384686622
0.025178508235883353,-0.575,-0.03593131264304758
0.025178508235883353,-0.55,-0.03433297328614684
0.025178508235883353,-0.525,-0.032739515977056335
0.025178508235883353,-0.5,-0.031150703265168937
0.025178508235883353,-0.475,-0.02956629992606662
0.025178508235883353,-0.45,-0.027986072841479304
0.025178508235883353,-0.425,-0.026409790881381776
0.025178508235883353,-0.4,-0.02483722478810015
0.025178508235883353,-0.375,-0.02326814706230266
0.025178508235883353,-0.35,-0.021702331850753244
0.025178508235883353,-0.32499999999999996,-0.020139554835709107
0.025178508235883353,-0.29999999999999993,-0.018579593125846346
0.025178508235883353,-0.275,-0.017022225148600592
0.025178508235883353,-0.25,-0.015467230543811616
0.025178508235883353,-0.22499999999999998,-0.013914390058563524
0.025178508235883353,-0.19999999999999996,-0.012363485443113796
0.025178508235883353,-0.17499999999999993,-0.010814299347806521
0.025178508235883353,-0.15000000000000002,-0.009266615220866853
0.025178508235883353,-0.125,-0.007720217206974892
0.025178508235883353,-0.09999999999999998,-0.006174890046519026
0.025178508235883353,-0.07499999999999996,-0.004630418975429236
0.025178508235883353,-0.04999999999999993,-0.0030865896254925755
0.025178508235883353,-0.025000000000000022,-0.0015431879250531453
0.025178508235883353,0.0,-0.0
0.025178508235883353,0.025000000000000022,0.0015431879250531453
