angle,field,scalar_relative_L2_error,maximum_relative_refinement_difference
0,center_pressure,0.016217178086705177,0.003500691988549089
0,top_displacement,0.004150940940573005,0.0004916032744768768
0,right_reaction,0.009812677852371407,0.0004892868276820451
45,center_pressure,0.011263840040711922,0.003668689557429241
45,top_displacement,0.002593061638868533,0.0004605612602676919
45,right_reaction,0.006497648256945688,0.0011461312053009471
90,center_pressure,0.0320309634659486,0.003445760361494796
90,top_displacement,0.008764000748052073,0.0005151402717580958
90,right_reaction,0.0070609512956328335,0.0004199749464406632
