gamma,p,shear,shear_linear,pore,pore_linear,ln_h,ln_h_linear,J,Jbar,solid_fraction
-0.6,0.5,0.008373085993822138,0.009478015766359482,0.20492035672836528,0.22327677614804975,0.007442743105619709,0.008424902903430675,1.0,0.8834218258573718,0.7950796432716347
-0.585,0.5,0.008377902754330036,0.009478015766359482,0.20446297360472776,0.2227080952020682,0.007447024670515723,0.008424902903430675,1.0,0.8839300293280803,0.7955370263952722
-0.57,0.5,0.008382722036630375,0.009478015766359482,0.20400535102029804,0.22213941425608663,0.007451308477004814,0.008424902903430675,1.0,0.8844384988663355,0.795994648979702
-0.5549999999999999,0.5,0.008387543841782419,0.009478015766359482,0.2035474888744816,0.22157073331010504,0.007455594526028786,0.00842490290343062,1.0,0.8849472345839093,0.7964525111255184
-0.54,0.5,0.008392368170845876,0.009478015766359482,0.20308938706666602,0.22100205236412349,0.007459882818529717,0.008424902903430675,1.0,0.8854562365925933,0.796910612933334
-0.525,0.5,0.008397195024880455,0.009478015766359482,0.20263104549622168,0.2204333714181419,0.007464173355449244,0.008424902903430675,1.0,0.8859655050041981,0.7973689545037783
-0.51,0.5,0.008402024404945974,0.009478015766359482,0.2021724640625011,0.21986469047216034,0.0074684661377297235,0.008424902903430675,1.0,0.8864750399305543,0.7978275359374989
-0.495,0.5,0.008406856312102529,0.009478015766359482,0.20171364266483938,0.21929600952617878,0.007472761166313402,0.008424902903430675,1.0,0.8869848414835118,0.7982863573351606
-0.48,0.5,0.00841169074741066,0.009478015766359482,0.20125458120255413,0.21872732858019722,0.007477058442142859,0.00842490290343062,1.0,0.8874949097749398,0.7987454187974459
-0.46499999999999997,0.5,0.008416527711930577,0.009478015766359482,0.20079527957494547,0.21815864763421564,0.007481357966160562,0.008424902903430675,1.0,0.8880052449167273,0.7992047204250545
-0.44999999999999996,0.5,0.008421367206723263,0.009478015766359482,0.20033573768129587,0.21758996668823405,0.007485659739309536,0.00842490290343062,1.0,0.8885158470207823,0.7996642623187041
-0.435,0.5,0.008426209232849258,0.009478015766359482,0.19987595542087078,0.2170212857422525,0.0074899637625326365,0.008424902903430675,1.0,0.8890267161990325,0.8001240445791292
-0.42,0.5,0.008431053791369714,0.009478015766359482,0.19941593269291746,0.21645260479627093,0.00749427003677311,0.008424902903430675,1.0,0.889537852563425,0.8005840673070825
-0.40499999999999997,0.5,0.008435900883345948,0.009478015766359482,0.19895566939666676,0.21588392385028937,0.0074985785629741175,0.008424902903430648,1.0,0.8900492562259258,0.8010443306033332
-0.39,0.5,0.008440750509839112,0.009478015766359482,0.1984951654313315,0.2153152429043078,0.007502889342079211,0.008424902903430675,1.0,0.8905609272985205,0.8015048345686685
-0.375,0.5,0.008445602671911079,0.009478015766359482,0.1980344206961071,0.21474656195832623,0.007507202375031996,0.008424902903430675,1.0,0.8910728658932143,0.8019655793038929
-0.36,0.5,0.008450457370623277,0.009478015766359482,0.1975734350901719,0.21417788101234464,0.007511517662776329,0.008424902903430648,1.0,0.8915850721220312,0.8024265649098281
-0.345,0.5,0.008455314607038078,0.009478015766359482,0.19711220851268696,0.21360920006636308,0.0075158352062561495,0.008424902903430648,1.0,0.8920975460970145,0.802887791487313
-0.32999999999999996,0.5,0.008460174382217356,0.009478015766359482,0.19665074086279577,0.21304051912038152,0.007520155006415452,0.008424902903430648,1.0,0.8926102879302269,0.8033492591372042
-0.315,0.5,0.008465036697223371,0.009478015766359482,0.1961890320396248,0.21247183817439996,0.0075244770641985925,0.008424902903430648,1.0,0.8931232977337502,0.8038109679603752
-0.3,0.5,0.008469901553118886,0.009478015766359482,0.19572708194228305,0.21190315722841838,0.007528801380550121,0.008424902903430648,1.0,0.8936365756196855,0.804272918057717
-0.285,0.5,0.008474768950966327,0.009478015766359482,0.19526489046986262,0.21133447628243682,0.007533127956414504,0.008424902903430675,1.0,0.8941501217001526,0.8047351095301374
-0.27,0.5,0.00847963889182854,0.009478015766359454,0.1948024575214381,0.21076579533645523,0.0075374567927364855,0.008424902903430648,1.0,0.894663936087291,0.8051975424785619
-0.255,0.5,0.008484511376768755,0.009478015766359482,0.19433978299606702,0.21019711439047367,0.007541787890461116,0.008424902903430648,1.0,0.8951780188932589,0.805660217003933
-0.24,0.5,0.008489386406850014,0.009478015766359482,0.1938768667927896,0.2096284334444921,0.007546121250533361,0.00842490290343062,1.0,0.8956923702302337,0.8061231332072104
-0.22499999999999998,0.5,0.00849426398313588,0.009478015766359482,0.19341370881062914,0.20905975249851055,0.00755045687389852,0.008424902903430648,1.0,0.8962069902104121,0.8065862911893709
-0.20999999999999996,0.5,0.008499144106689782,0.009478015766359482,0.19295030894859166,0.20849107155252897,0.007554794761502059,0.008424902903430648,1.0,0.8967218789460092,0.8070496910514083
-0.195,0.5,0.008504026778575507,0.009478015766359482,0.19248666710566642,0.20792239060654738,0.007559134914289348,0.008424902903430634,1.0,0.8972370365492595,0.8075133328943336
-0.18,0.5,0.008508911999857066,0.009478015766359482,0.192022783180825,0.20735370966056582,0.007563477333206309,0.008424902903430634,1.0,0.8977524631324166,0.807977216819175
-0.16499999999999998,0.5,0.00851379977159858,0.009478015766359482,0.19155865707302244,0.20678502871458426,0.007567822019198742,0.008424902903430662,1.0,0.8982681588077528,0.8084413429269776
-0.15000000000000002,0.5,0.008518690094864265,0.009478015766359482,0.1910942886811966,0.2062163477686027,0.007572168973212681,0.008424902903430648,1.0,0.8987841236875593,0.8089057113188034
-0.135,0.5,0.008523582970718646,0.009478015766359468,0.1906296779042681,0.20564766682262112,0.007576518196194371,0.008424902903430648,1.0,0.8993003578841465,0.8093703220957319
-0.12,0.5,0.0085284784002264,0.009478015766359482,0.19016482464114104,0.20507898587663956,0.007580869689090136,0.008424902903430634,1.0,0.8998168615098433,0.809835175358859
-0.10499999999999998,0.5,0.008533376384452313,0.009478015766359482,0.18969972879070218,0.20451030493065797,0.007585223452846512,0.008424902903430648,1.0,0.9003336346769976,0.8103002712092978
-0.08999999999999997,0.5,0.008538276924461422,0.009478015766359482,0.18923439025182154,0.2039416239846764,0.007589579488410159,0.008424902903430648,1.0,0.9008506774979761,0.8107656097481785
-0.07499999999999996,0.5,0.008543180021318944,0.009478015766359482,0.18876880892335202,0.20337294303869485,0.0075939377967279426,0.008424902903430648,1.0,0.9013679900851644,0.811231191076648
-0.05999999999999994,0.5,0.008548085676090195,0.009478015766359482,0.18830298470412976,0.2028042620927133,0.007598298378746843,0.008424902903430648,1.0,0.9018855725509669,0.8116970152958702
-0.04500000000000004,0.5,0.008552993889840765,0.009478015766359482,0.18783691749297415,0.2022355811467317,0.007602661235414022,0.008424902903430648,1.0,0.9024034250078065,0.8121630825070258
