gamma,p,stress_error_over_Ks,pore,solid_fraction,hessian_min
-0.6,0.0,3.925231146709438e-17,0.12246217957205618,0.8775378204279438,2.483448079386115
-0.575,0.0,1.1102230246251566e-17,0.12153754641957892,0.8784624535804211,2.483448079386115
-0.5499999999999999,0.0,2.2887833992611188e-17,0.12061193901112455,0.8793880609888755,2.483448079386115
-0.525,0.0,1.7554167342883506e-17,0.1196853563201512,0.8803146436798488,2.483448079386115
-0.5,0.0,6.707437923744493e-17,0.11875779731903524,0.8812422026809648,2.483448079386115
-0.475,0.0,6.206335383118183e-18,0.11782926097907032,0.8821707390209297,2.483448079386115
-0.44999999999999996,0.0,6.401858262767178e-17,0.11689974627046629,0.8831002537295337,2.483448079386115
-0.425,0.0,2.7894008272968644e-17,0.11596925216234777,0.8840307478376522,2.483448079386115
-0.4,0.0,3.444376352465766e-17,0.11503777762275313,0.8849622223772469,2.483448079386115
-0.375,0.0,3.342213888644168e-17,0.11410532161863374,0.8858946783813663,2.483448079386115
-0.35,0.0,6.401858262767178e-17,0.11317188311585191,0.8868281168841481,2.483448079386115
-0.325,0.0,1.494683490070454e-17,0.11223746107918098,0.887762538920819,2.483448079386115
-0.3,0.0,1.962615573354719e-17,0.11130205447230301,0.888697945527697,2.483448079386115
-0.275,0.0,2.7755575615628915e-18,0.1103656622578083,0.8896343377421917,2.483448079386115
-0.25,0.0,3.3537189618722465e-17,0.10942828339719424,0.8905717166028058,2.483448079386115
-0.22500000000000003,0.0,2.4276213934271012e-17,0.10848991685086351,0.8915100831491365,2.483448079386115
-0.2,0.0,1.722188176232883e-17,0.10755056157812382,0.8924494384218762,2.483448079386115
-0.175,0.0,3.200929131383589e-17,0.10661021653718616,0.8933897834628138,2.483448079386115
-0.15000000000000002,0.0,6.206335383118183e-18,0.105668880685164,0.894331119314836,2.483448079386115
-0.125,0.0,1.6768594809361232e-17,0.10472655297807176,0.8952734470219282,2.483448079386115
-0.10000000000000003,0.0,6.938893903907228e-18,0.10378323237082399,0.896216767629176,2.483448079386115
-0.07500000000000007,0.0,1.3877787807814458e-18,0.10283891781723375,0.8971610821827662,2.483448079386115
-0.050000000000000044,0.0,3.832129411430761e-18,0.10189360827001204,0.898106391729988,2.483448079386115
-0.025000000000000022,0.0,1.9160647057153807e-18,0.10094730268076657,0.8990526973192334,2.483448079386115
0.0,0.0,0.0,0.09999999999999998,0.9,2.483448079386115
0.025000000000000022,0.0,1.9160647057153807e-18,0.09905169917710921,0.9009483008228908,2.483448079386115
0.04999999999999993,0.0,3.1031676915590916e-18,0.09810239916038443,0.9018976008396156,2.483448079386115
0.07499999999999996,0.0,6.938893903907228e-18,0.09715209889700727,0.9028479011029927,2.483448079386115
0.09999999999999998,0.0,6.206335383118183e-18,0.09620079733305065,0.9037992026669494,2.483448079386115
0.125,0.0,1.6768594809361232e-17,0.09524849341347608,0.9047515065865239,2.483448079386115
0.1499999999999999,0.0,1.3877787807814457e-17,0.09429518608213427,0.9057048139178657,2.483448079386115
0.17499999999999993,0.0,1.7772239894833366e-17,0.09334087428176274,0.9066591257182373,2.483448079386115
0.19999999999999996,0.0,1.2412670766236366e-17,0.09238555695398498,0.907614443046015,2.483448079386115
0.22499999999999998,0.0,3.200929131383589e-17,0.09142923303930939,0.9085707669606906,2.483448079386115
0.25,0.0,3.3537189618722465e-17,0.09047190147712802,0.909528098522872,2.483448079386115
0.2749999999999999,0.0,3.785355833503772e-17,0.0895135612057153,0.9104864387942847,2.483448079386115
0.29999999999999993,0.0,1.922962686383564e-17,0.08855421116222706,0.9114457888377729,2.483448079386115
0.32499999999999996,0.0,3.200929131383589e-17,0.08759385028269906,0.9124061497173009,2.483448079386115
0.35,0.0,6.401858262767178e-17,0.08663247750204628,0.9133675224979537,2.483448079386115
0.3749999999999999,0.0,4.0886516013572503e-17,0.08567009175406137,0.9143299082459386,2.483448079386115
0.3999999999999999,0.0,2.4825341532472732e-17,0.08470669197141323,0.9152933080285868,2.483448079386115
0.42499999999999993,0.0,3.2957919968262575e-17,0.08374227708564685,0.9162577229143531,2.483448079386115
0.44999999999999984,0.0,2.5438405243138007e-17,0.0827768460271806,0.9172231539728194,2.483448079386115
0.475,0.0,6.206335383118183e-18,0.08181039772530618,0.9181896022746938,2.483448079386115
0.4999999999999999,0.0,2.5438405243138007e-17,0.08084293110818752,0.9191570688918125,2.483448079386115
0.525,0.0,1.7554167342883506e-17,0.0798744451028588,0.9201255548971412,2.483448079386115
0.5499999999999999,0.0,2.2887833992611188e-17,0.07890493863522363,0.9210950613647764,2.483448079386115
0.5749999999999998,0.0,4.9960036108132046e-17,0.07793441063005391,0.9220655893699461,2.483448079386115
0.6,0.0,3.925231146709438e-17,0.07696286001098851,0.9230371399890115,2.483448079386115
-0.6,0.025,0.00020822704623931358,0.12720222573104933,0.8727977742689507,2.483559223791553
-0.575,0.025,0.00020122537649157105,0.12628754627700378,0.8737124537229962,2.4835593394876545
-0.5499999999999999,0.025,0.00019421640870542826,0.12537191342669396,0.874628086573306,2.483559455302721
-0.525,0.025,0.00018720013535658672,0.12445532619716115,0.8755446738028388,2.4835595712368717
-0.5,0.025,0.00018017654891309848,0.12353778360445489,0.8764622163955451,2.4835596872902266
-0.475,0.025,0.00017314564183539672,0.12261928466363314,0.8773807153363669,2.4835598034629043
-0.44999999999999996,0.025,0.0001661074065764081,0.12169982838876081,0.8783001716112392,2.483559919755025
-0.425,0.025,0.0001590618355814636,0.12077941379290913,0.8792205862070909,2.4835600361667094
-0.4,0.025,0.00015200892128812177,0.11985803988815447,0.8801419601118455,2.4835601526980757
-0.375,0.025,0.00014494865612645183,0.11893570568557732,0.8810642943144227,2.4835602693492445
-0.35,0.025,0.00013788103251890574,0.11801241019526143,0.8819875898047386,2.4835603861203355
-0.325,0.025,0.00013080604288023503,0.11708815242629322,0.8829118475737068,2.4835605030114705
-0.3,0.025,0.0001237236796175388,0.11616293138676004,0.88383706861324,2.483560620022767
-0.275,0.025,0.00011663393513038948,0.11523674608375001,0.88476325391625,2.4835607371543484
-0.25,0.025,0.00010953680181048563,0.1143095955233503,0.8856904044766497,2.4835608544063326
-0.22500000000000003,0.025,0.00010243227204204492,0.11338147871064708,0.8866185212893529,2.4835609717788416
-0.2,0.025,9.532033820150767e-05,0.11245239464972356,0.8875476053502764,2.483561089271996
-0.175,0.025,8.820099265773082e-05,0.11152234234365976,0.8884776576563402,2.483561206885917
-0.15000000000000002,0.025,8.107422777175495e-05,0.11059132079453138,0.8894086792054686,2.4835613246207258
-0.125,0.025,7.394003589703417e-05,0.10965932900340858,0.8903406709965914,2.4835614424765415
-0.10000000000000003,0.025,6.679840937927331e-05,0.10872636597035512,0.8912736340296449,2.4835615604534875
-0.07500000000000007,0.025,5.964934055646446e-05,0.10779243069442779,0.8922075693055722,2.4835616785516845
-0.050000000000000044,0.025,5.2492821758878404e-05,0.10685752217367483,0.8931424778263252,2.483561796771253
-0.025000000000000022,0.025,4.532884530908546e-05,0.10592163940513544,0.8940783605948646,2.4835619151123165
0.0,0.025,3.815740352190243e-05,0.10498478138483847,0.8950152186151615,2.4835620335749944
0.025000000000000022,0.025,3.097848870441244e-05,0.10404694710780171,0.8959530528921983,2.4835621521594105
0.04999999999999993,0.025,2.3792093155949587e-05,0.10310813556803078,0.8968918644319692,2.4835622708656855
0.07499999999999996,0.025,1.6598209168099094e-05,0.10216834575851819,0.8978316542414818,2.483562389693942
