time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0,0,0.60264769154394,0.60264769154394,1,1,1,1,0,0,-0,-0,0.01,0,0,0,0,0,0.9,0.9,2.5,2.5,0,0
0.0025,0,0.60264769154394,0.60264769154394,0.99999231230228,0.99998123044941,0.99999215216907,0.99999119345311,2.1693362775512e-05,9.4280266025503e-22,4.0705690541439e-06,3.1603925816709e-06,0.0099999042190301,-3.8312387940847e-05,2.9132426537838e-05,-8.0754381357646e-07,-1.291175549581e-06,-1.9058388321487e-06,0.90000896687163,0.89999929354718,2.5,2.5,-8.6108528005451e-07,-2.5e-05
0.005,0,0.60264769154394,0.60264769154394,0.99998466406948,0.9999625981928,0.9999841424796,0.99998251747934,4.3270878206608e-05,1.7905424819377e-21,8.274676150749e-06,6.6714139855267e-06,0.0099997619617027,-5.6902930976331e-05,4.7062196394079e-05,-1.6299242680117e-06,-2.6462482015987e-06,-3.7835484829231e-06,0.90001792802843,0.89999858441943,2.5,2.5,-1.7629366440065e-06,-4.999999999999e-05
0.0075,0,0.60264769154394,0.60264769154394,0.99997704316713,0.99994409449196,0.99997607119052,0.9999739196348,6.4756669413239e-05,2.5954068611149e-21,1.2569454615869e-05,1.0367657503148e-05,0.0099995848603469,-7.0840542330703e-05,6.0768926558201e-05,-2.4635667843992e-06,-4.0302917741707e-06,-5.6401692608938e-06,0.90002684412929,0.8999978753809,2.5,2.5,-2.6953509577721e-06,-7.5000000000009e-05
0.01,0,0.60264769154394,0.60264769154394,0.99996944045965,0.99992569227102,0.99996797238458,0.99996537584248,8.6156841617681e-05,3.3705742727684e-21,1.6931322659397e-05,1.3965012698651e-05,0.0099993788573633,-8.2401193419213e-05,7.2218977047637e-05,-3.3068237709627e-06,-5.4322626993477e-06,-7.4792977229732e-06,0.90003571786842,0.89999717054444,2.5,2.5,-3.6531159281206e-06,-0.00010000000000001
0.0125,0,0.60264769154394,0.60264769154394,0.99996953414391,0.99992614217238,0.99996770855004,0.9999656798004,8.5773982205861e-05,3.178532090124e-21,1.7277321250396e-05,1.4248580142737e-05,0.009999243459388,-5.4159190108607e-05,5.3094870077765e-05,-3.3513448462293e-06,-5.5560699489752e-06,-7.3973499456205e-06,0.90003558649356,0.89999718243012,2.5,2.5,-3.7718783592971e-06,-9.9999999999987e-05
0.015,0,0.60264769154394,0.60264769154394,0.99996958630474,0.99992652458892,0.99996760109612,0.99996588662347,8.54060164099e-05,3.0600518655658e-21,1.753705900206e-05,1.44832785155e-05,0.0099991319717897,-4.459503931858e-05,4.415369537764e-05,-3.3895146568408e-06,-5.6262992298815e-06,-7.3298735977411e-06,0.90003542843422,0.89999721515488,2.5,2.5,-3.8696681393374e-06,-0.00010000000000001
0.0175,0,0.60264769154394,0.60264769154394,0.99996959709507,0.9999268392684,0.99996755389939,0.99996604361646,8.5012368785567e-05,2.9648743339938e-21,1.7748420297284e-05,1.4689934816298e-05,0.0099990347202845,-3.8900602109993e-05,3.8666195072246e-05,-3.4248944542781e-06,-5.6761938383014e-06,-7.2710134509499e-06,0.90003528649484,0.89999727544539,2.5,2.5,-3.9549709304526e-06,-9.9999999999998e-05
0.02,0,0.60264769154394,0.60264769154394,0.99996956286369,0.99992710665494,0.99996753537094,0.99996617122121,8.4567192461827e-05,2.8812487673108e-21,1.7931355741449e-05,1.487838009883e-05,0.0099989473011786,-3.4967642350588e-05,3.4828526916989e-05,-3.4593157149419e-06,-5.7156481330655e-06,-7.2181042297454e-06,0.90003516067262,0.89999736967863,2.5,2.5,-4.0316493706165e-06,-0.00010000000000001
0.0225,0,0.60264769154394,0.60264769154394,0.99996948007234,0.99992734056923,0.99996753243691,0.99996627958372,8.4053188940722e-05,2.8050141617296e-21,1.8095450867958e-05,1.5054323288808e-05,0.0099988672391859,-3.2024797082096e-05,3.1938164805303e-05,-3.4938852078616e-06,-5.7487420786196e-06,-7.1696478009142e-06,0.90003504765959,0.89999750272741,2.5,2.5,-4.1018746223562e-06,-9.9999999999988e-05
