time,B_anisotropy,B_par,B_per,J,Jbar,drained_c11,drained_c12,energy,ln_a,ln_h,mass,sigma11,sigma22,solid_fraction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,0.69032258064516,0.090322580645161,0.00010696370967742,0.011322580645161,-0.005,0.11094032258065,-0.011225806451613,-0.022475806451613,0.88986037554165
