time,B_anisotropy,B_par,B_per,J,Jbar,drained_c11,drained_c12,energy,ln_a,ln_h,mass,sigma11,sigma22,solid_fraction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.1102230246252e-16,0.88387096774194,0.88387096774194,1.005,0.99367741935484,0.35282258064516,0.25907258064516,8.0596522177419e-05,0.011322580645161,-0.0078125,0.11094032258065,-0.015444556451613,-0.020366431451613,0.88986037554165
