time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0.99998301698302,0.99998301698302,0.9999817959818,0.9999817959818,4.7952047952048e-05,2.4841824841825e-05,0.01,0,0,-4.1824841824842e-06,-4.1824841824842e-06,0.89999890108024,0.89999890108024,2.5,2.5,0
0.0002,0.99998428414941,0.99997017614584,0.99998539851843,0.99998121836922,4.8369235818467e-05,2.4477944289006e-05,0.009999924115743,-0.00037942128478863,8.064156024941e-05,-4.2188722377667e-06,-4.2188722377667e-06,0.90001370054393,0.89999724075447,2.5,2.5,-0.00010000000000006
0.0004,0.99998300737328,0.99996992091563,0.99998542536527,0.99998154789634,4.8469896780357e-05,2.4390145826019e-05,0.0099999058061052,-9.1548189004868e-05,7.2239671833295e-05,-4.2276520840654e-06,-4.2276520840654e-06,0.90001395442441,0.89999868644843,2.5,2.5,-0.0001
0.0006,0.99998306120865,0.99996971620753,0.99998544297488,0.99998148890047,4.8558726561413e-05,2.4312665459521e-05,0.0099998896482205,-8.0789423819997e-05,6.5735871290065e-05,-4.2354001207157e-06,-4.2354001207158e-06,0.90001415451927,0.89999858489867,2.5,2.5,-9.9999999999948e-05
0.0008,0.99998296808488,0.99996954779669,0.99998545419062,0.99998147780894,4.8638560047246e-05,2.4243034693149e-05,0.0099998751273044,-7.2604580350077e-05,6.0581210918098e-05,-4.2423631973522e-06,-4.2423631973522e-06,0.9000143161905,0.89999865872881,2.5,2.5,-9.9999999999942e-05
0.001,0.99998279881581,0.99996940606689,0.99998546090044,0.99998149267854,4.8711375263421e-05,2.4179523141117e-05,0.0099998618824995,-6.6224024568033e-05,5.6406643557771e-05,-4.2487143525544e-06,-4.2487143525544e-06,0.90001444979228,0.89999882445624,2.5,2.5,-9.9999999999961e-05
0.0012,0.99998278678507,0.99996928439198,0.99998546437905,0.99998146366999,4.8778594784317e-05,2.4120891343833e-05,0.0099998496553268,-6.1135863635533e-05,5.2959442501281e-05,-4.2545775322828e-06,-4.2545775322828e-06,0.90001456243565,0.89999880917593,2.5,2.5,-9.9999999999976e-05
0.0014,0.9999827622339,0.99996917811666,0.99998546550188,0.99998144057826,4.8841261066504e-05,2.4066232274889e-05,0.0099998382566334,-5.6993466689767e-05,5.0063255493014e-05,-4.2600434391776e-06,-4.2600434391776e-06,0.90001465909852,0.89999881048942,2.5,2.5,-9.9999999999939e-05
0.0016,0.99998271949169,0.99996908390611,0.99998546488052,0.99998142470702,4.8900151309694e-05,2.4014868201103e-05,0.0099998275450839,-5.3557747773354e-05,4.7592684382016e-05,-4.265179846556e-06,-4.265179846556e-06,0.90001474333278,0.89999883467366,2.5,2.5,-9.9999999999965e-05
0.0018,0.99998267780991,0.9999689993253,0.99998546294946,0.99998141006513,4.8955856276559e-05,2.3966282516043e-05,0.0099998174129441,-5.0660698698406e-05,4.5456888783627e-05,-4.2700384150619e-06,-4.2700384150619e-06,0.9000148177211,0.89999885900993,2.5,2.5,-0.00010000000000009
0.002,0.99998266171121,0.9999689225629,0.99998546002245,0.99998138916369,4.9008834523491e-05,2.3920073959941e-05,0.0099998077765348,-4.8182046522271e-05,4.3588860234569e-05,-4.274659270673e-06,-4.274659270673e-06,0.90001488417616,0.89999885468738,2.5,2.5,-0.00010000000000003
0.0022,0.99998264231887,0.99996885224734,0.9999854563297,0.99998137038258,4.9059449295219e-05,2.3875925366057e-05,0.0099997985697135,-4.6034106739299e-05,4.1938302736314e-05,-4.2790741300614e-06,-4.2790741300614e-06,0.9000149441396,0.89999885523747,2.5,2.5,-0.00010000000000004
0.0024,0.99998261888429,0.99996878732244,0.99998545204259,0.99998135380204,4.9107993455685e-05,2.3833581967865e-05,0.0099997897393507,-4.415181415268e-05,4.0466836036744e-05,-4.2833084698805e-06,-4.2833084698805e-06,0.90001499871629,0.89999886140619,2.5,2.5,-9.9999999999992e-05
0.0026,0.99998259655127,0.99996872696197,0.99998544729058,0.99998133778264,4.9154706463111e-05,2.3792836091409e-05,0.0099997812421377,-4.2486064928601e-05,3.9144714621039e-05,-4.2873830575259e-06,-4.2873830575259e-06,0.90001504876636,0.89999886708851,2.5,2.5,-9.9999999999929e-05
0.0028,0.99998258130879,0.99996867051007,0.99998544217267,0.99998132045453,4.9199786234858e-05,2.3753516176071e-05,0.009999773042297,-4.0999203398451e-05,3.7948549203975e-05,-4.2913150490604e-06,-4.2913150490604e-06,0.90001509496926,0.8999988652114,2.5,2.5,-0.00010000000000002
0.003,0.99998256550239,0.99996861743901,0.99998543676554,0.99998130400602,4.9243397788252e-05,2.3715478773701e-05,0.0099997651099137,-3.9661916412662e-05,3.6859700461253e-05,-4.2951187892957e-06,-4.2951187892957e-06,0.90001513786895,0.89999886463347,2.5,2.5,-0.00010000000000005
0.0032,0.9999825488075,0.99996856731886,0.9999854311292,0.9999812884659,4.9285679823133e-05,2.367860262833e-05,0.0099997574197009,-3.8451064076516e-05,3.5863129842925e-05,-4.2988064038335e-06,-4.2988064038335e-06,0.90001517790639,0.89999886567277,2.5,2.5,-0.00010000000000003
0.0034,0.99998253207947,0.9999685197954,0.99998542531112,0.99998127352325,4.9326749928297e-05,2.3642784230479e-05,0.0099997499500725,-3.7348141916905e-05,3.4946565524511e-05,-4.3023882436185e-06,-4.3023882436185e-06,0.90001521544313,0.89999886727962,2.5,2.5,-9.9999999999977e-05
0.0036,0.99998251811712,0.99996847457367,0.99998541934915,0.99998125829924,4.936670878955e-05,2.3607934432437e-05,0.0099997426824375,-3.6338174842932e-05,3.4099888647529e-05,-4.3058732234226e-06,-4.3058732234226e-06,0.90001525077872,0.89999886614409,2.5,2.5,-9.999999999995e-05
0.0038,0.99998250428867,0.99996843140576,0.99998541327376,0.99998124353067,4.9405643603321e-05,2.3573975837043e-05,0.0099997356006555,-3.5408910414869e-05,3.3314675647273e-05,-4.3092690829628e-06,-4.3092690829628e-06,0.90001528416369,0.89999886529795,2.5,2.5,-9.9999999999948e-05
0.004,0.99998249038617,0.99996839008146,0.99998540710962,0.99998122924156,4.9443630821053e-05,2.3540840758585e-05,0.009999728690611,-3.4550222430486e-05,3.2583852649863e-05,-4.3125825908082e-06,-4.3125825908082e-06,0.90001531580947,0.89999886494997,2.5,2.5,-9.9999999999959e-05
0.0042,0.99998247631169,0.9999683504211,0.99998540087687,0.9999812154278,4.9480738308359e-05,2.3508469612029e-05,0.0099997219398781,-3.3753664283331e-05,3.1901431368586e-05,-4.3158197054634e-06,-4.3158197054634e-06,0.90001534589588,0.89999886518461,2.5,2.5,-9.9999999999989e-05
0.0044,0.99998246348575,0.99996831226999,0.99998539459202,0.9999812016392,4.9517026993783e-05,2.3476809626849e-05,0.009999715337452,-3.3012130385572e-05,3.1262305001779e-05,-4.3189857039819e-06,-4.3189857039819e-06,0.90001537457701,0.89999886431819,2.5,2.5,-0.00010000000000003
0.0046,0.99998245092135,0.99996827549405,0.99998538826869,0.99998118814209,4.9552552082015e-05,2.3445813810049e-05,0.0099997088735327,-3.2319596478218e-05,3.0662088828956e-05,-4.3220852856618e-06,-4.3220852856618e-06,0.9000154019858,0.89999886347871,2.5,2.5,-9.9999999999953e-05
0.0048,0.99998243848489,0.99996823997636,0.99998538191817,0.99998117495268,4.9587363906309e-05,2.3415440102166e-05,0.0099997025393491,-3.1670918316127e-05,3.0096994479672e-05,-4.3251226564495e-06,-4.3251226564495e-06,0.90001542823764,0.89999886280104,2.5,2.5,-9.9999999999966e-05
0.005,0.99998242612327,0.99996820561433,0.99998537554984,0.99998116206571,4.9621508491082e-05,2.3385650684586e-05,0.0099996963270143,-3.1061673960725e-05,2.9563729839302e-05,-4.3281015982075e-06,-4.3281015982075e-06,0.90001545343329,0.8999988623282,2.5,2.5,-9.9999999999982e-05
0.0052,0.99998241410735,0.99996817231753,0.99998536917151,0.99998114938194,4.965502789492e-05,2.3356411406371e-05,0.0099996902294065,-3.0488039067235e-05,2.9059418672615e-05,-4.3310255260297e-06,-4.3310255260297e-06,0.9000154776612,0.89999886172712,2.5,2.5,-9.9999999999963e-05
0.0054,0.99998240246628,0.99996814000581,0.99998536278974,0.99998113687553,4.9687960394847e-05,2.3327691306603e-05,0.009999684240069,-2.9946687366146e-05,2.8581535555746e-05,-4.3338975360061e-06,-4.3338975360061e-06,0.9000155009994,0.89999886094828,2.5,2.5,-9.9999999999958e-05
0.0056,0.99998239098661,0.99996810860783,0.99998535641002,0.99998112459409,4.972034056412e-05,2.3299462213576e-05,0.0099996783531269,-2.9434710548682e-05,2.8127852799361e-05,-4.3367204453091e-06,-4.3367204453091e-06,0.90001552351704,0.89999886022666,2.5,2.5,-9.9999999999981e-05
0.0058,0.99998237964377,0.99996807805981,0.99998535003695,0.99998111253059,4.9752199288147e-05,2.3271698406174e-05,0.0099996725632162,-2.8949553354372e-05,2.7696396848136e-05,-4.3394968260495e-06,-4.3394968260495e-06,0.90001554527565,0.89999885957804,2.5,2.5,-9.9999999999954e-05
0.006,0.99998236844368,0.99996804830452,0.9999853436744,0.9999811006702,4.9783563752024e-05,2.3244376326242e-05,0.0099996668654241,-2.848896043163e-05,2.728541222124e-05,-4.3422290340427e-06,-4.3422290340427e-06,0.90001556633026,0.89999885898375,2.5,2.5,-9.9999999999948e-05
0.0062,0.99998235752684,0.9999680192904,0.99998533732562,0.99998108895927,4.9814457424014e-05,2.321747433283e-05,0.0099996612552376,-2.8050932710819e-05,2.6893331507785e-05,-4.3449192333836e-06,-4.3449192333836e-06,0.90001558673018,0.89999885826904,2.5,2.5,-9.9999999999974e-05
0.0064,0.99998234676821,0.99996799097083,0.99998533099336,0.99998107742377,4.9844900054685e-05,2.3190972491115e-05,0.0099996557284994,-2.7633691211244e-05,2.6518750250315e-05,-4.3475694175549e-06,-4.3475694175549e-06,0.90001560651982,0.89999885756983,2.5,2.5,-9.9999999999973e-05
0.0066,0.9999823361487,0.99996796330355,0.9999853246799,0.99998106605912,4.9874907703565e-05,2.3164852390194e-05,0.00999965028137,-2.7235646911955e-05,2.6160405805571e-05,-4.3501814276478e-06,-4.3501814276478e-06,0.90001562573931,0.89999885689918,2.5,2.5,-0.0001
0.0068,0.99998232566868,0.99996793625011,0.99998531838718,0.99998105485575,4.9904492794505e-05,2.3139096985113e-05,0.0099996449102949,-2.6855375492365e-05,2.5817159459852e-05,-4.3527569681547e-06,-4.3527569681547e-06,0.90001564442498,0.89999885624815,2.5,2.5,-9.999999999996e-05
0.007,0.99998231535559,0.99996790977539,0.99998531211681,0.99998104379673,4.9933664177382e-05,2.3113690464436e-05,0.0099996396119759,-2.6491596227641e-05,2.5487981238782e-05,-4.3552976208123e-06,-4.3552976209613e-06,0.90001566260987,0.89999885557682,2.5,2.5,-0.0001000000000069
0.0072,0.99998230516713,0.99996788384742,0.99998530587008,0.99998103288647,4.9962427365533e-05,2.3088618105915e-05,0.0099996343833453,-2.614315296464e-05,2.5171936879691e-05,-4.3578048560796e-06,-4.3578048560796e-06,0.90001568032399,0.89999885492714,2.5,2.5,-0.00010000000000001
0.0074,0.99998229509336,0.99996785843665,0.99998529964815,0.99998102212024,4.9990784586193e-05,2.3063866216433e-05,0.009999629221545,-2.5809001402756e-05,2.4868176700995e-05,-4.3602800450262e-06,-4.3602800450262e-06,0.9000156975949,0.89999885430391,2.5,2.5,-9.9999999999981e-05
