time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998641994176,0.99997105725735,0.99998858764228,0.99998678693272,4.3015324584029e-05,5.1719958658884e-05,-2.9249604786817e-05,-3.4100134309398e-05,0.0099998233811605,-0.00039756354521257,0.00014173996700393,-6.5840795687608e-06,-6.5840795687609e-06,0.90001577780309,0.90000033029635,2.5,2.5,-0.0001
0.0006,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998639458427,0.99997064891812,0.99998860563726,0.99998676003695,4.3107461984981e-05,5.1568797836858e-05,-2.9198123354398e-05,-3.416957336649e-05,0.0099997939402878,-0.00019013896535031,9.3089385312372e-05,-6.5973625768143e-06,-6.5973625960918e-06,0.90001616152132,0.90000032891219,2.5,2.5,-9.999999999727e-05
0.0009,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998637520871,0.99997045782237,0.99998860521455,0.99998673948646,4.3177862568064e-05,5.1453298484363e-05,-2.9196962408985e-05,-3.4222630481059e-05,0.0099997714450275,-0.0001452818879756,7.2824126715235e-05,-6.6075119016909e-06,-6.6075119143674e-06,0.90001633313534,0.90000032785463,2.5,2.5,-9.9999999990066e-05
0.0012,-0.037912063065438,0.57737298283364,0.61528504589908,0.9999863589672,0.99997033903375,0.9999886000079,0.99998672225994,4.3236876075419e-05,5.1356480815681e-05,-2.9209060082391e-05,-3.4267105775501e-05,0.0099997525883096,-0.00012178297133387,6.162578138467e-05,-6.6160196030636e-06,-6.6160196124746e-06,0.90001643536407,0.90000032696813,2.5,2.5,-0.00010000000000694
0.0015,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998634470628,0.99997025314889,0.99998859327754,0.99998670713434,4.3288692522902e-05,5.1271470603469e-05,-2.9225497153938e-05,-3.4306157046287e-05,0.0099997360312759,-0.00010693084243759,5.4368519915231e-05,-6.6234897411879e-06,-6.6234897486764e-06,0.90001650660668,0.90000032618981,2.5,2.5,-9.9999999999103e-05
0.0018,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998633183831,0.99997018549548,0.99998858605078,0.99998669348598,4.3335448178295e-05,5.1194763170106e-05,-2.9243436735078e-05,-3.4341394237022e-05,0.0099997210913339,-9.6487125408176e-05,4.919654224284e-05,-6.6302302858783e-06,-6.6302302921114e-06,0.90001656099338,0.90000032548745,2.5,2.5,-9.9999999992832e-05
0.0021,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998632001749,0.9999701292897,0.99998857871559,0.99998668094832,4.3378398900896e-05,5.1124298028965e-05,-2.9261792555897e-05,-3.4373763903941e-05,0.0099997073671733,-8.8635205152011e-05,4.527638789136e-05,-6.6364222991213e-06,-6.6364223044699e-06,0.90001660497918,0.90000032484228,2.5,2.5,-9.9999999994674e-05
0.0024,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998630902062,0.99997008090206,0.99998857143461,0.99998666928466,4.3418355413617e-05,5.105874501157e-05,-2.9280100147704e-05,-3.4403877095804e-05,0.0099996945997239,-8.2456444889045e-05,4.2174881138823e-05,-6.6421826670443e-06,-6.6421826717226e-06,0.90001664197712,0.90000032424214,2.5,2.5,-9.9999999996138e-05
0.0027,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998629869389,0.99997003818233,0.99998856427867,0.99998665833186,4.3455876498944e-05,5.0997187228102e-05,-2.9298150385065e-05,-3.443215493154e-05,0.0099996826104074,-7.7431003985124e-05,3.9642606088251e-05,-6.6475919598875e-06,-6.647591964033e-06,0.90001667398623,0.90000032367866,2.5,2.5,-0.00010000000000551
0.003,-0.037912063065438,0.57737298283364,0.61528504589908,0.99998628892588,0.99996999975822,0.99998855727761,0.99998664797191,4.3491366179057e-05,5.0938961286599e-05,-2.9315849895038e-05,-3.4458902150226e-05,0.0099996712700181,-7.3240013229399e-05,3.7524754992673e-05,-6.6527084721859e-06,-6.6527084758847e-06,0.90001670226844,0.90000032314589,2.5,2.5,-9.9999999987614e-05
